,Date,Time,City,Population,Result,NormalizedResult
150,2024-05-27,15:00,Düsseldorf,645923,[  9.  21.  10.  19.  13.  14.  23.  44.  43.  24.  64. 158. 123.],"[0.01592920353982301, 0.03716814159292035, 0.017699115044247787, 0.033628318584070796, 0.023008849557522124, 0.024778761061946902, 0.04070796460176991, 0.07787610619469026, 0.07610619469026549, 0.04247787610619469, 0.11327433628318584, 0.27964601769911507, 0.2176991150442478]"
151,2024-05-27,18:00,Düsseldorf,645923,[ 19.  13.  14.  23.  44.  43.  24.  64. 158. 123.  79.  26.   2.],"[0.030063291139240507, 0.020569620253164556, 0.022151898734177215, 0.03639240506329114, 0.06962025316455696, 0.0680379746835443, 0.0379746835443038, 0.10126582278481013, 0.25, 0.19462025316455697, 0.125, 0.04113924050632911, 0.0031645569620253164]"
152,2024-05-27,21:00,Düsseldorf,645923,[ 23.  44.  43.  24.  64. 158. 123.  79.  26.   2.   4.   0.   0.],"[0.03898305084745763, 0.07457627118644068, 0.07288135593220339, 0.04067796610169491, 0.10847457627118644, 0.2677966101694915, 0.20847457627118643, 0.13389830508474576, 0.04406779661016949, 0.003389830508474576, 0.006779661016949152, 0.0, 0.0]"
153,2024-05-28,15:00,Düsseldorf,645923,[15.  8. 11. 25. 26. 21. 28. 43. 38. 18. 14. 10.  2.],"[0.05791505791505792, 0.03088803088803089, 0.04247104247104247, 0.09652509652509653, 0.10038610038610038, 0.08108108108108109, 0.10810810810810811, 0.16602316602316602, 0.14671814671814673, 0.0694980694980695, 0.05405405405405406, 0.03861003861003861, 0.007722007722007722]"
154,2024-05-28,18:00,Düsseldorf,645923,[25. 26. 21. 28. 43. 38. 18. 14. 10.  2.  0.  1.  1.],"[0.11013215859030837, 0.1145374449339207, 0.09251101321585903, 0.12334801762114538, 0.1894273127753304, 0.16740088105726872, 0.07929515418502203, 0.06167400881057269, 0.04405286343612335, 0.00881057268722467, 0.0, 0.004405286343612335, 0.004405286343612335]"
155,2024-05-28,21:00,Düsseldorf,645923,[28. 43. 38. 18. 14. 10.  2.  0.  1.  1.  0.  1.  1.],"[0.17834394904458598, 0.27388535031847133, 0.24203821656050956, 0.11464968152866242, 0.08917197452229299, 0.06369426751592357, 0.012738853503184714, 0.0, 0.006369426751592357, 0.006369426751592357, 0.0, 0.006369426751592357, 0.006369426751592357]"
156,2024-05-29,15:00,Düsseldorf,645923,[13. 14. 19. 20. 14. 15. 42. 53. 51. 32.  8. 11.  3.],"[0.04406779661016949, 0.04745762711864407, 0.06440677966101695, 0.06779661016949153, 0.04745762711864407, 0.05084745762711865, 0.1423728813559322, 0.17966101694915254, 0.17288135593220338, 0.10847457627118644, 0.02711864406779661, 0.03728813559322034, 0.010169491525423728]"
157,2024-05-29,18:00,Düsseldorf,645923,[20. 14. 15. 42. 53. 51. 32.  8. 11.  3.  2.  4.  2.],"[0.07782101167315175, 0.054474708171206226, 0.058365758754863814, 0.16342412451361868, 0.20622568093385213, 0.19844357976653695, 0.1245136186770428, 0.0311284046692607, 0.042801556420233464, 0.011673151750972763, 0.007782101167315175, 0.01556420233463035, 0.007782101167315175]"
158,2024-05-29,21:00,Düsseldorf,645923,[42. 53. 51. 32.  8. 11.  3.  2.  4.  2.  3.  1.  0.],"[0.19811320754716982, 0.25, 0.24056603773584906, 0.1509433962264151, 0.03773584905660377, 0.05188679245283019, 0.014150943396226415, 0.009433962264150943, 0.018867924528301886, 0.009433962264150943, 0.014150943396226415, 0.0047169811320754715, 0.0]"
159,2024-05-30,15:00,Düsseldorf,645923,[11. 10.  6. 14. 12.  9. 12.  6.  8.  7. 10.  7.  5.],"[0.09401709401709402, 0.08547008547008547, 0.05128205128205128, 0.11965811965811966, 0.10256410256410256, 0.07692307692307693, 0.10256410256410256, 0.05128205128205128, 0.06837606837606838, 0.05982905982905983, 0.08547008547008547, 0.05982905982905983, 0.042735042735042736]"
