,City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
10,Leipzig,2024-06-24,21:00,597493,Croatia 1 - 1 Italy,Group B,[23. 30. 22. 20. 15. 12.  8.  5.  7.  2.  0.  0.  1.],Croatia 1 - 1 Italy,"[0.15862068965517243, 0.20689655172413793, 0.15172413793103448, 0.13793103448275862, 0.10344827586206896, 0.08275862068965517, 0.05517241379310345, 0.034482758620689655, 0.04827586206896552, 0.013793103448275862, 0.0, 0.0, 0.006896551724137931]"
11,Düsseldorf,2024-06-24,21:00,619294,Albania 0 - 1 Spain,Group B,[11. 17. 10. 17.  9. 22. 10.  5.  2.  1.  1.  2.  2.],Albania 0 - 1 Spain,"[0.10091743119266056, 0.1559633027522936, 0.09174311926605505, 0.1559633027522936, 0.08256880733944955, 0.2018348623853211, 0.09174311926605505, 0.045871559633027525, 0.01834862385321101, 0.009174311926605505, 0.009174311926605505, 0.01834862385321101, 0.01834862385321101]"
12,Stuttgart,2024-06-16,18:00,634830,Slovenia 1 - 1 Denmark,Group C,[ 7.  8.  6.  7.  7. 26.  6.  5.  0.  2.  0.  1.  0.],Slovenia 1 - 1 Denmark,"[0.09333333333333334, 0.10666666666666667, 0.08, 0.09333333333333334, 0.09333333333333334, 0.3466666666666667, 0.08, 0.06666666666666667, 0.0, 0.02666666666666667, 0.0, 0.013333333333333334, 0.0]"
13,Gelsenkirchen,2024-06-16,21:00,260000,Serbia 0 - 1 England,Group C,[ 9.  4.  7. 11.  8. 20.  4.  5.  2.  4.  3.  2.  0.],Serbia 0 - 1 England,"[0.11392405063291139, 0.05063291139240506, 0.08860759493670886, 0.13924050632911392, 0.10126582278481013, 0.25316455696202533, 0.05063291139240506, 0.06329113924050633, 0.02531645569620253, 0.05063291139240506, 0.0379746835443038, 0.02531645569620253, 0.0]"
14,München,2024-06-20,15:00,1472000,Slovenia 1 - 1 Serbia,Group C,[12.  6.  7.  5.  5.  9.  9.  7.  7.  9.  4.  2.  0.],Slovenia 1 - 1 Serbia,"[0.14634146341463414, 0.07317073170731707, 0.08536585365853659, 0.06097560975609756, 0.06097560975609756, 0.10975609756097561, 0.10975609756097561, 0.08536585365853659, 0.08536585365853659, 0.10975609756097561, 0.04878048780487805, 0.024390243902439025, 0.0]"
15,Frankfurt am Main,2024-06-20,18:00,753056,Denmark 1 - 1 England,Group C,[11.  6.  3. 12. 10. 22.  9.  7.  9.  4.  3.  4.  1.],Denmark 1 - 1 England,"[0.10891089108910891, 0.0594059405940594, 0.0297029702970297, 0.1188118811881188, 0.09900990099009901, 0.21782178217821782, 0.0891089108910891, 0.06930693069306931, 0.0891089108910891, 0.039603960396039604, 0.0297029702970297, 0.039603960396039604, 0.009900990099009901]"
16,Köln,2024-06-25,21:00,1085664,England 0 - 0 Slovenia,Group C,[11. 17. 16. 16. 20. 22. 45.  8.  5.  4.  0.  1.  0.],England 0 - 0 Slovenia,"[0.06666666666666667, 0.10303030303030303, 0.09696969696969697, 0.09696969696969697, 0.12121212121212122, 0.13333333333333333, 0.2727272727272727, 0.048484848484848485, 0.030303030303030304, 0.024242424242424242, 0.0, 0.006060606060606061, 0.0]"
17,München,2024-06-25,21:00,1472000,Denmark 0 - 0 Serbia,Group C,[6. 7. 5. 6. 4. 8. 1. 0. 0. 1. 0. 1. 0.],Denmark 0 - 0 Serbia,"[0.15384615384615385, 0.1794871794871795, 0.1282051282051282, 0.15384615384615385, 0.10256410256410256, 0.20512820512820512, 0.02564102564102564, 0.0, 0.0, 0.02564102564102564, 0.0, 0.02564102564102564, 0.0]"
18,Hamburg,2024-06-16,15:00,1841179,Poland 1 - 2 Netherlands,Group D,[ 8. 10. 12. 22. 47. 29. 23. 23. 19. 18. 15. 12.  7.],Poland 1 - 2 Netherlands,"[0.0326530612244898, 0.04081632653061224, 0.04897959183673469, 0.08979591836734693, 0.19183673469387755, 0.11836734693877551, 0.09387755102040816, 0.09387755102040816, 0.07755102040816327, 0.07346938775510205, 0.061224489795918366, 0.04897959183673469, 0.02857142857142857]"
19,Düsseldorf,2024-06-17,21:00,619294,Austria 0 - 1 France,Group D,[ 8. 18. 18. 10.  4.  6. 12.  5.  4.  2.  0.  0.  0.],Austria 0 - 1 France,"[0.09195402298850575, 0.20689655172413793, 0.20689655172413793, 0.11494252873563218, 0.04597701149425287, 0.06896551724137931, 0.13793103448275862, 0.05747126436781609, 0.04597701149425287, 0.022988505747126436, 0.0, 0.0, 0.0]"
