City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Berlin,2024-06-21,18:00,3769000,Poland 1 - 3 Austria,Group D,[409. 448. 593. 559. 434. 386. 318. 232. 178. 111.  71.  98.  41.],Poland 1 - 3 Austria,"[0.10546673543063435, 0.11552346570397112, 0.15291387313047963, 0.1441464672511604, 0.11191335740072202, 0.09953584321815369, 0.08200103145951522, 0.059824651882413614, 0.04589994842702424, 0.02862300154718927, 0.018308406395048993, 0.02527075812274368, 0.010572460030943786]"
Leipzig,2024-06-21,21:00,597493,Netherlands 0 - 0 France,Group D,[169. 214. 220. 184. 129. 123.  60.  45.  39.  13.  22.   8.   0.],Netherlands 0 - 0 France,"[0.13784665579119088, 0.17455138662316477, 0.17944535073409462, 0.1500815660685155, 0.10522022838499184, 0.100326264274062, 0.048939641109298535, 0.0367047308319739, 0.03181076672104405, 0.010603588907014683, 0.01794453507340946, 0.0065252854812398045, 0.0]"
Berlin,2024-06-25,18:00,3769000,Netherlands 2 - 3 Austria,Group D,[351. 360. 500. 581. 625. 412. 261. 161. 139.  93.  92.  65.  22.],Netherlands 2 - 3 Austria,"[0.09584926269797925, 0.09830693610049153, 0.1365374112506827, 0.1586564718732933, 0.17067176406335335, 0.11250682687056253, 0.07127252867285637, 0.043965046422719825, 0.03795740032768979, 0.02539595849262698, 0.025122883670125613, 0.01774986346258875, 0.006007646095030038]"
Dortmund,2024-06-25,18:00,588462,France 1 - 1 Poland,Group D,[ 78.  76.  87. 163. 187. 203. 104.  73.  65.  27.  13.   6.   0.],France 1 - 1 Poland,"[0.07208872458410351, 0.07024029574861368, 0.08040665434380777, 0.15064695009242143, 0.17282809611829944, 0.1876155268022181, 0.09611829944547134, 0.06746765249537892, 0.06007393715341959, 0.024953789279112754, 0.012014787430683918, 0.005545286506469501, 0.0]"
München,2024-06-17,15:00,1488202,Romania 3 - 0 Ukraine,Group E,[36. 27. 37. 44. 30. 46. 46. 63. 57. 31. 23. 11.  7.],Romania 3 - 0 Ukraine,"[0.07860262008733625, 0.05895196506550218, 0.08078602620087336, 0.09606986899563319, 0.06550218340611354, 0.10043668122270742, 0.10043668122270742, 0.13755458515283842, 0.12445414847161572, 0.06768558951965066, 0.05021834061135371, 0.024017467248908297, 0.015283842794759825]"
Frankfurt am Main,2024-06-17,18:00,753056,Belgium 0 - 1 Slovakia,Group E,[47. 61. 65. 89. 73. 88. 52. 41. 20. 23. 12.  7.  6.],Belgium 0 - 1 Slovakia,"[0.08047945205479452, 0.10445205479452055, 0.1113013698630137, 0.1523972602739726, 0.125, 0.1506849315068493, 0.08904109589041095, 0.0702054794520548, 0.03424657534246575, 0.039383561643835614, 0.02054794520547945, 0.011986301369863013, 0.010273972602739725]"
Düsseldorf,2024-06-21,15:00,617280,Slovakia 1 - 2 Ukraine,Group E,[ 93.  86.  75.  90. 116. 116. 153. 134. 135.  65.  27.  27.  16.],Slovakia 1 - 2 Ukraine,"[0.0820829655781112, 0.07590467784642542, 0.06619593998234775, 0.0794351279788173, 0.10238305383936452, 0.10238305383936452, 0.13503971756398941, 0.11827007943512798, 0.11915269196822595, 0.05736981465136805, 0.02383053839364519, 0.02383053839364519, 0.01412180052956752]"
Köln,2024-06-22,21:00,1080394,Belgium 2 - 0 Romania,Group E,[111. 152. 129. 104.  57.  74.  37.  56.  46.  32.  19.   6.   3.],Belgium 2 - 0 Romania,"[0.1343825665859564, 0.18401937046004843, 0.15617433414043583, 0.12590799031476999, 0.06900726392251816, 0.08958837772397095, 0.044794188861985475, 0.06779661016949153, 0.05569007263922518, 0.0387409200968523, 0.023002421307506054, 0.007263922518159807, 0.0036319612590799033]"
Frankfurt am Main,2024-06-26,18:00,753056,Slovakia 1 - 1 Romania,Group E,[ 59.  85.  66.  82. 119. 143.  93.  71.  32.  30.  30.  33.  10.],Slovakia 1 - 1 Romania,"[0.06916764361078546, 0.09964830011723329, 0.07737397420867527, 0.09613130128956623, 0.1395076201641266, 0.16764361078546308, 0.10902696365767878, 0.08323563892145369, 0.03751465416178194, 0.035169988276670575, 0.035169988276670575, 0.038686987104337635, 0.011723329425556858]"
Stuttgart,2024-06-26,18:00,635911,Ukraine 0 - 0 Belgium,Group E,[ 30.  49.  62.  80. 134. 214. 111.  67.  43.  12.   6.   4.   2.],Ukraine 0 - 0 Belgium,"[0.036855036855036855, 0.060196560196560195, 0.07616707616707617, 0.09828009828009827, 0.16461916461916462, 0.2628992628992629, 0.13636363636363635, 0.08230958230958231, 0.052825552825552825, 0.014742014742014743, 0.007371007371007371, 0.004914004914004914, 0.002457002457002457]"
Dortmund,2024-06-18,18:00,588462,Turkey 3 - 1 Georgia,Group F,[ 76.  69. 101. 110. 231. 243. 140. 101.  84.  33.  24.   6.   3.],Turkey 3 - 1 Georgia,"[0.062244062244062245, 0.056511056511056514, 0.08271908271908272, 0.09009009009009009, 0.1891891891891892, 0.19901719901719903, 0.11466011466011466, 0.08271908271908272, 0.0687960687960688, 0.02702702702702703, 0.019656019656019656, 0.004914004914004914, 0.002457002457002457]"
Leipzig,2024-06-18,21:00,597493,Portugal 2 - 1 Czechia,Group F,[237. 292. 245. 133.  79. 102.  39.  37.  22.  11.  10.   5.   5.],Portugal 2 - 1 Czechia,"[0.19474116680361545, 0.2399342645850452, 0.20131470829909615, 0.10928512736236648, 0.06491372226787182, 0.0838126540673788, 0.03204601479046836, 0.030402629416598194, 0.018077239112571898, 0.009038619556285949, 0.008216926869350863, 0.004108463434675432, 0.004108463434675432]"
Hamburg,2024-06-22,15:00,1841179,Georgia 1 - 1 Czechia,Group F,[133. 150. 325. 270. 258. 265. 251. 233. 207. 158.  93.  63.  67.],Georgia 1 - 1 Czechia,"[0.053780832996360696, 0.0606550748079256, 0.13141932875050547, 0.10917913465426607, 0.10432672866963202, 0.10715729882733523, 0.10149615851192884, 0.09421754953497775, 0.08370400323493732, 0.06389001213101496, 0.03760614638091387, 0.02547513141932875, 0.027092600080873434]"
