did,centroids_ar,types,nominatim,len
1D437E1EB1164B778C8A634382C2526B2024-07-05,"[(6.993333634367586, 51.16631715340771), (6.789806981894901, 51.22054388526655), (6.787547712622469, 51.22078241810828), (6.9397508660546094, 51.170022659500184), (8.543823137525182, 49.892527105445176), (8.6188818553576, 49.28038665258659), (9.233162297108874, 48.79192371981148), (9.22518338000774, 48.791658460197695), (9.215475878411748, 48.785140891409576)]","['unknown', 'pub', 'restaurant', 'driving_school', 'charging_station', 'unknown', 'unknown', 'grit_bin', 'bench']","[('Solingen', 'building', 'yes', 134775011), ('Düsseldorf', 'building', 'yes', 253225659), ('Düsseldorf', 'amenity', 'parking', 298424104), ('Hilden', 'place', 'house', 7345975364), ('Büttelborn', 'amenity', 'charging_station', 10189307024), ('unknown', 'junction', 'interchange', 803024962), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'highway', 'unclassified', 551523666), ('Stuttgart', 'building', 'yes', 325449072)]",9
1EA31718066D9E01FFAAF53722490B442024-06-19,"[(9.118573708138513, 48.824989885216254), (9.155901181451219, 48.81440337473786), (9.234013573837938, 48.791992275552914), (9.22976042218096, 48.79235223629686), (9.17928773649561, 48.77747195496997)]","['parking', 'school', 'restaurant', 'post_box', 'restaurant']","[('unknown', 'building', 'apartments', 79578343), ('Stuttgart', 'amenity', 'school', 24604883), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'historic', 'memorial', 2286777619), ('Stuttgart', 'historic', 'castle', 22988)]",5
1F7F965496618871DB20376A27F9D1BB2024-06-19,"[(9.480744214960275, 48.79811482658351), (9.231458780727028, 48.791575748758305)]","['vending_machine', 'unknown']","[('Engelberg', 'building', 'apartments', 171036170), ('Stuttgart', 'leisure', 'stadium', 3869991)]",2
20F7276DCF73859A51B650AD394C0A752024-06-19,"[(8.970844807485243, 48.62523652284963), (9.173017382481415, 48.77719881985889), (9.17993280105378, 48.77943881811566), (9.231352735830757, 48.79164624253615), (9.181751284292462, 48.78238776622945)]","['bank', 'cafe', 'restaurant', 'unknown', 'bicycle_rental']","[('Hildrizhausen', 'building', 'apartments', 115807716), ('Stuttgart', 'building', 'apartments', 121950056), ('Stuttgart', 'leisure', 'outdoor_seating', 434738581), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'place', 'house', 1545717051)]",5
23AF86D62DCEA095965065DC4175AC5F2024-06-19,"[(9.354687889054958, 48.61787661618874), (9.373970557950186, 48.673901277813044), (9.231353705205683, 48.791857083231186)]","['unknown', 'ticket_validator', 'unknown']","[('Nürtingen', 'building', 'yes', 450271432), ('Wendlingen am Neckar', 'railway', 'stop', 3082376229), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
2668642F252FDA17F235D9EC2C62692A2024-07-05,"[(10.261249591108863, 50.03651958424082), (9.091530797431439, 48.820585754326146), (9.230712271208985, 48.791155560070735)]","['waste_basket', 'parking', 'parking']","[('Sennfeld', 'building', 'house', 1028418131), ('Stuttgart', 'building', 'yes', 55130628), ('Stuttgart', 'man_made', 'bridge', 1070620404)]",3
274352E8960E3B7108DECBB747B8B0BF2024-06-19,"[(8.887460555584907, 47.73709236493988), (9.190891158964497, 48.780756528781474), (9.231571940818599, 48.79305141981383), (9.179945864711685, 48.78189596989357), (9.178546606748377, 48.77838675869601)]","['unknown', 'charging_station', 'unknown', 'parking_entrance', 'bench']","[('Singen (Hohentwiel)', 'building', 'house', 302515226), ('Stuttgart', 'tourism', 'hostel', 108803069), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'place', 'house', 3150576769), ('Stuttgart', 'highway', 'pedestrian', 471870206)]",5
2DAA5AE6574DFDC2C499B6140AA94D022024-06-19,"[(9.052509652978213, 48.85842199886829), (9.026098024676324, 48.86412367826283), (9.194075720750428, 48.8067529626942), (9.219859439300901, 48.78927634743105), (9.220088769427907, 48.79116608254078), (9.228166470367265, 48.79235392938573), (9.231785330576743, 48.793191552637566)]","['unknown', 'restaurant', 'unknown', 'unknown', 'unknown', 'parking', 'unknown']","[('Hemmingen', 'building', 'house', 44145998), ('Hemmingen', 'building', 'house', 224724564), ('Stuttgart', 'highway', 'secondary', 380332585), ('Stuttgart', 'man_made', 'works', 24551970), ('Stuttgart', 'emergency', 'life_ring', 3475584837), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'leisure', 'stadium', 3869991)]",7
30D7B5511D2CA092D1ABA76AA8D4D1EA2024-06-19,"[(9.011174747927607, 48.81865480264796), (9.025435142591144, 48.81724692858782), (9.223591603706891, 48.792504929382325), (9.226146379498918, 48.792778978169125), (9.23252668277949, 48.79248725080688)]","['unknown', 'charging_station', 'unknown', 'bicycle_rental', 'unknown']","[('Leonberg', 'building', 'apartments', 37546379), ('Leonberg', 'amenity', 'parking', 129957189), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'amenity', 'atm', 3742810619), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
30D7B5511D2CA092D1ABA76AA8D4D1EA2024-07-05,"[(9.108217457020174, 48.908843894162835), (9.011174747927607, 48.81865480264796), (9.025222296231274, 48.816965783107136), (9.183764623430148, 48.809512963114734), (9.233162622763125, 48.79199400003161)]","['parking', 'unknown', 'charging_station', 'waste_basket', 'unknown']","[('Markgröningen', 'amenity', 'hospital', 448415913), ('Leonberg', 'building', 'apartments', 37546379), ('Leonberg', 'building', 'apartments', 45754699), ('Stuttgart', 'junction', 'yes', 582531444), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
340449D5FB2CC0E5DB2B4DC3A95BE23B2024-06-19,"[(8.839155777679755, 50.146410441548305), (8.841051398883483, 50.135311279672734), (9.248914625389148, 48.81536454844233), (9.217460411861868, 48.80129732194782), (9.220114596796797, 48.7972190373345), (9.21935120090236, 48.795321674954415), (9.22508927266122, 48.79362380635078), (9.231459750543877, 48.79178658945434)]","['unknown', 'driving_school', 'bench', 'toilets', 'waste_basket', 'unknown', 'parking', 'unknown']","[('Hochstadt', 'building', 'yes', 193233002), ('Dörnigheim', 'building', 'yes', 88832083), ('Stuttgart', 'railway', 'platform', 48245574), ('Stuttgart', 'highway', 'elevator', 3043452780), ('Stuttgart', 'building', 'yes', 109578302), ('Stuttgart', 'highway', 'pedestrian', 14247592), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991)]",8
3AA546B50BE1AD437AFD54844C9B69382024-07-05,"[(9.11518591551981, 48.69349715314889), (9.206836208209605, 48.96001305069125), (9.233162297108874, 48.79192371981148)]","['unknown', 'bank', 'unknown']","[('Musberg', 'building', 'yes', 171039358), ('Pleidelsheim', 'building', 'yes', 268207739), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
3B36256507086426F597CA253B5DC2F32024-06-19,"[(9.164101508830118, 48.84889964704595), (9.195287312851672, 48.790026247699274), (9.188755956980705, 48.80570905213343), (9.22049547742106, 48.78991050110302), (9.231565795584954, 48.79171609557955), (9.147350636565585, 48.83802884031257)]","['charging_station', 'parking', 'parking_entrance', 'unknown', 'unknown', 'fast_food']","[('Stuttgart', 'building', 'yes', 312827844), ('Stuttgart', 'amenity', 'school', 438666582), ('Stuttgart', 'building', 'apartments', 205641309), ('Stuttgart', 'man_made', 'works', 24551970), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'building', 'hotel', 100006308)]",6
3BAD71931D0048B5A4317A7469EED1A22024-06-19,"[(10.13295346884876, 50.01338869839736), (9.728588728180053, 49.628185429353216), (9.136256731680236, 48.83017109041867), (9.107599016905091, 48.8196593367605), (9.112162410547413, 48.813610240021276), (9.193791436752447, 48.78827175015131), (9.205100673953712, 48.79661503624668), (9.225510358911478, 48.793414842614794), (9.23167895914478, 48.793191766488576), (9.19005764357236, 48.785326168792764), (9.185800066293247, 48.78441945839089)]","['unknown', 'toilets', 'restaurant', 'bench', 'pharmacy', 'fast_food', 'grit_bin', 'parking', 'unknown', 'brothel', 'bicycle_parking']","[('Schnackenwerth', 'building', 'yes', 157776658), ('Grünsfeldhausen', 'highway', 'services', 222181144), ('unknown', 'amenity', 'restaurant', 44038015), ('Stuttgart', 'building', 'yes', 104057273), ('Stuttgart', 'amenity', 'bank', 1373116560), ('Stuttgart', 'emergency', 'ambulance_station', 115476022), ('Stuttgart', 'highway', 'primary', 762201609), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'building', 'office', 335054200), ('Stuttgart', 'amenity', 'vending_machine', 11903357435)]",11
4DB08C948D5A970DDA33C3E3E2F8DB1F2024-07-05,"[(10.106948992300996, 48.78487596609789), (9.233162297108874, 48.79192371981148), (9.231247982550533, 48.79164624253615), (10.241729870110527, 48.69930066660917)]","['parking', 'unknown', 'unknown', 'fountain']","[('Oberkochen', 'building', 'semidetached_house', 298890688), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Nattheim', 'amenity', 'post_box', 912112079)]",4
4FBA5DD7D79D201ED43E872A1C7D771B2024-06-19,"[(9.237937258091176, 48.78945413051985), (9.23104169864702, 48.793403888176)]","['waste_basket', 'exhibition_centre']","[('Stuttgart', 'leisure', 'pitch', 25216081), ('Stuttgart', 'leisure', 'stadium', 3869991)]",2
4FBA5DD7D79D201ED43E872A1C7D771B2024-07-05,"[(9.237830894606196, 48.78945435003565), (9.235706258074336, 48.790020961616825), (9.232521811336166, 48.79143304745744), (9.203323002144874, 49.1980486781136)]","['waste_basket', 'unknown', 'unknown', 'unknown']","[('Stuttgart', 'leisure', 'pitch', 25216081), ('Stuttgart', 'leisure', 'pitch', 25216082), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Neckarsulm', 'building', 'farm', 58824252)]",4
50F4BF133527B3901FA8791CDC493D842024-06-19,"[(9.167811131013558, 48.779878790100376), (9.229440351779955, 48.79214203123625)]","['atm', 'post_box']","[('Stuttgart', 'amenity', 'cinema', 109647363), ('Stuttgart', 'tourism', 'attraction', 136082204)]",2
51B3982FB5EF4E847D6669701C6C921F2024-06-19,"[(9.737068095683972, 52.392315380706854), (9.74140112040797, 52.37662218410595), (9.228695447720709, 48.79178999441175), (9.231991268830878, 48.791715240023365), (9.180912364940742, 48.78569229049323)]","['doctors', 'post_box', 'parking', 'unknown', 'car_rental']","[('Hannover', 'building', 'yes', 184874533), ('Hannover', 'railway', 'platform', 3570717), ('Stuttgart', 'leisure', 'pitch', 25216449), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'shop', 'ticket', 6742566677)]",5
52699F69322B6B9C75E604D5E7BB8AD22024-06-19,"[(9.228696086556306, 48.79221379119987), (9.231672487468963, 48.79178594822734)]","['atm', 'unknown']","[('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'leisure', 'stadium', 3869991)]",2
52B1BA72AB821206A3BF3B3012671C962024-07-05,"[(9.297937523510283, 49.0064787205032), (9.380081410850126, 48.86525719894366), (9.381894433934459, 48.864894874871986), (9.179734669570223, 48.7835154238815), (9.177277697789442, 48.780426866399345), (9.229975088770889, 48.79277349341435)]","['unknown', 'parking', 'parking', 'restaurant', 'fast_food', 'exhibition_centre']","[('Großbottwar', 'building', 'apartments', 475396707), ('Winnenden', 'building', 'residential', 396961411), ('Winnenden', 'building', 'residential', 396961396), ('Stuttgart', 'building', 'hotel', 90724485), ('Stuttgart', 'amenity', 'pub', 309783043), ('Stuttgart', 'tourism', 'attraction', 136082204)]",6
52C5D89D11BFFEB4A3D8B441F9D023282024-06-19,"[(9.181780981393846, 48.790610586555815), (9.233267036853928, 48.79157210348479), (9.234653425780454, 48.79234237912178), (9.226039377163781, 48.792781278666546)]","['pharmacy', 'unknown', 'parking', 'bicycle_rental']","[('Stuttgart', 'highway', 'pedestrian', 330785833), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'highway', 'service', 961603390), ('Stuttgart', 'amenity', 'parking', 14251527)]",4
52C5D89D11BFFEB4A3D8B441F9D023282024-07-05,"[(9.18167410762381, 48.790259016424365), (9.233267036853928, 48.79157210348479), (9.229015194713158, 48.79221315761981)]","['bicycle_parking', 'unknown', 'atm']","[('Stuttgart', 'place', 'house', 739122394), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'tourism', 'attraction', 136082204)]",3
53055B77D373F951850EACFF19D1B7D12024-07-05,"[(9.197306309659075, 48.599347611990964), (9.234545745805432, 48.79206147477594), (9.232841239655702, 48.79150268352138), (9.230394778699205, 48.791507599546726), (9.231254442416123, 48.79340346155062)]","['unknown', 'restaurant', 'unknown', 'parking', 'exhibition_centre']","[('Häslach', 'building', 'yes', 169549642), ('Stuttgart', 'highway', 'service', 961603390), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'shop', 'ticket', 2794699274), ('Stuttgart', 'leisure', 'stadium', 3869991)]",5
547DB07AB7683E00612A9D65C07710A82024-06-19,"[(9.820877438118975, 48.61683269664534), (9.232521811336166, 48.79143304745744)]","['unknown', 'unknown']","[('Geislingen an der Steige', 'building', 'apartments', 382078837), ('Stuttgart', 'leisure', 'stadium', 3869991)]",2
555D125C92796FF3D86F77CE27CE4DA02024-06-19,"[(10.82426837653798, 49.71202935674911), (9.19421796682914, 48.788552155835056), (9.22476355766196, 48.79250244627666), (9.232847743915128, 48.79290828789523)]","['unknown', 'fast_food', 'parking', 'unknown']","[('Höchstadt an der Aisch', 'highway', 'residential', 24314266), ('Stuttgart', 'emergency', 'ambulance_station', 115476022), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
585C22CBCA8596A3D393D99890FAFA0D2024-07-05,"[(8.664779908502247, 53.053771192589636), (8.813265336461386, 53.08268053678476), (8.663171789966054, 50.10682568383385), (8.589778257942474, 49.124411545146664), (9.18314532759963, 48.78554820220022), (9.179189152507073, 48.779369531823384), (9.18035640938126, 48.778944520054004), (9.231356936536661, 48.79255988549182), (8.399788930344622, 48.99293991861108)]","['unknown', 'post_box', 'toilets', 'cafe', 'bench', 'cinema', 'restaurant', 'unknown', 'bench']","[('Delmenhorst', 'building', 'yes', 371921400), ('Bremen', 'building', 'train_station', 3340527), ('Frankfurt am Main', 'shop', 'bakery', 293705702), ('Bruchsal', 'railway', 'station', 25436271), ('Stuttgart', 'railway', 'stop', 297470900), ('Stuttgart', 'highway', 'pedestrian', 27660355), ('Stuttgart', 'amenity', 'waste_basket', 7836866593), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Karlsruhe', 'amenity', 'bench', 2343814563)]",9
58629F082D05938CE8F2F24E98096BBA2024-06-19,"[(9.121952894351102, 48.726100958261), (9.175681299057812, 48.780006813480504)]","['parking_entrance', 'bar']","[('Stuttgart', 'amenity', 'parking', 1056919810), ('Stuttgart', 'amenity', 'bar', 290365328)]",2
5A070F904CC699B6303092B6772F86542024-06-19,"[(9.842567950488707, 48.614426960347714), (9.185478675810796, 48.78378744749798), (9.18153681217668, 48.781896137443105), (9.177805946556175, 48.779442118778974), (9.178331934114611, 48.77782484291143), (9.181097008794861, 48.777890812508915), (9.230079531192018, 48.79235159976889), (9.230936294446373, 48.79340346155062), (9.231885224389044, 48.791785734288695)]","['unknown', 'unknown', 'restaurant', 'post_office', 'fountain', 'fountain', 'post_box', 'exhibition_centre', 'unknown']","[('Geislingen an der Steige', 'highway', 'service', 479516841), ('Stuttgart', 'highway', 'service', 366600519), ('Stuttgart', 'building', 'office', 90724464), ('Stuttgart', 'shop', 'mall', 461693847), ('Stuttgart', 'highway', 'service', 374854777), ('Stuttgart', 'historic', 'castle', 487414511), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'leisure', 'stadium', 3869991)]",9
5A4FA55D3BE8CC4A4BF58B9475C7B78B2024-06-19,"[(7.61985764171301, 51.901513243246576), (7.63475742045138, 51.95690156448786), (6.79487759849281, 51.2197304446305), (9.225934899975455, 48.792638627314396), (9.22901455498619, 48.79207259714297)]","['parking', 'vending_machine', 'vending_machine', 'bicycle_rental', 'post_box']","[('Münster', 'building', 'house', 361182001), ('Münster', 'amenity', 'cafe', 634421181), ('Düsseldorf', 'amenity', 'waste_basket', 12484696116), ('Stuttgart', 'amenity', 'parking', 14251527), ('Stuttgart', 'tourism', 'attraction', 136082204)]",5
5A4FA55D3BE8CC4A4BF58B9475C7B78B2024-07-05,"[(7.61985764171301, 51.901513243246576), (9.459019334371888, 48.981915055079476), (9.216928770762344, 48.80144332388081), (9.21787774831131, 48.799262429681576), (9.228271884305546, 48.79214287738182), (9.233162297108874, 48.79192371981148)]","['parking', 'doctors', 'bench', 'clock', 'parking', 'unknown']","[('Münster', 'building', 'house', 361182001), ('Oppenweiler', 'building', 'house', 189426824), ('Stuttgart', 'railway', 'station', 3043452988), ('Stuttgart', 'tourism', 'museum', 37049129), ('Stuttgart', 'amenity', 'parking', 25001042), ('Stuttgart', 'leisure', 'stadium', 3869991)]",6
5CDA858B8213ECE11EC64526149F72482024-06-19,"[(8.749490748666245, 51.719960600219416), (9.44756191451043, 51.31017967967496), (9.217144885979422, 48.80221600519577), (9.214383821586567, 48.80341594585239), (9.233162297108874, 48.79192371981148), (9.231251212420867, 48.79255988549182), (9.180693345275943, 48.78393561065428)]","['bank', 'unknown', 'taxi', 'vending_machine', 'unknown', 'unknown', 'vending_machine']","[('Paderborn', 'building', 'apartments', 261695230), ('Kassel', 'railway', 'platform', 3407292), ('Stuttgart', 'building', 'retail', 244442209), ('Stuttgart', 'place', 'house', 4244234836), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'highway', 'elevator', 440981894)]",7
5D66C3BE70DFC4FFFB2568B6F8A8EE922024-07-05,"[(9.191901053605301, 48.794600190406456), (9.226251802363473, 48.79136767645564), (9.23188295734097, 48.791293772667245), (9.225591209212254, 48.787721932234525)]","['unknown', 'parking', 'unknown', 'unknown']","[('Stuttgart', 'building', 'apartments', 80933462), ('Stuttgart', 'amenity', 'parking', 25001042), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'highway', 'trunk', 24423881)]",4
60C8650ADFD0C8CD8CF6122C5B9F07862024-06-19,"[(9.233162297108874, 48.79192371981148)]",['unknown'],"[('Stuttgart', 'leisure', 'stadium', 3869991)]",1
624C81779FE007B9220B8DBEF274C76A2024-07-05,"[(9.158124136852418, 48.84448034911645), (9.177805698326923, 48.77937183816115), (9.229120604062018, 48.792002105515145), (9.232202383897919, 48.79136341050606)]","['cafe', 'post_office', 'post_box', 'unknown']","[('Stuttgart', 'tourism', 'hotel', 1584148565), ('Stuttgart', 'shop', 'mall', 461693847), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
636C824390F5233213F27E1599B5FD9D2024-06-19,"[(9.212673783597825, 49.92428749436188), (9.177183969185606, 48.78401133978904), (9.204503365738981, 48.78073318053453), (9.231460397094695, 48.79192714991405)]","['unknown', 'restaurant', 'car_sharing', 'unknown']","[('Soden', 'building', 'yes', 147949866), ('Stuttgart', 'place', 'house', 3372269629), ('Stuttgart', 'building', 'yes', 123769993), ('Stuttgart', 'leisure', 'stadium', 3869991)]",4
63C77F7F8523BF4D3EC8364918D79F3F2024-06-19,"[(9.371756481472401, 50.972178978940796)]",['unknown'],"[('Lenderscheid', 'building', 'yes', 235350123)]",1
65464885286D455098A06F34C63D3B262024-06-19,"[(9.062559306314064, 48.54601390098472), (8.875393403423864, 48.50990774500622), (9.230403789127594, 48.793475445911874), (9.37333073023234, 48.67312956663758)]","['parking_entrance', 'school', 'exhibition_centre', 'ticket_validator']","[('Tübingen', 'building', 'house', 367735233), ('Seebronn', 'amenity', 'school', 286306996), ('Stuttgart', 'amenity', 'pub', 438908087), ('Wendlingen am Neckar', 'railway', 'station', 601507321)]",4
6793032E198AC9E275A4981C117355DE2024-06-19,"[(8.980144590006528, 50.03739868975007), (9.179729399660069, 48.78077298497727), (9.229229854471583, 48.79263441614586), (9.232210816292058, 48.79312020170042), (9.181954328553251, 48.779716768532445), (9.183463625858751, 48.78533685321101)]","['unknown', 'bicycle_parking', 'parking_entrance', 'unknown', 'waste_basket', 'bench']","[('Seligenstadt', 'building', 'yes', 9800354), ('Stuttgart', 'building', 'retail', 90724459), ('Stuttgart', 'tourism', 'attraction', 136082204), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'amenity', 'waste_basket', 7837839843), ('Stuttgart', 'railway', 'stop', 297470898)]",6
684867B40342DA0C98B90EB2109B227D2024-07-05,"[(8.782744428014515, 50.19248211499747), (8.635989423291955, 49.88737218649836), (8.670231795294447, 49.85782161902275), (9.236993225983236, 48.79226731120088), (9.23390753165344, 48.79206277167185), (9.23146783278856, 48.79354359495261), (8.773550677318124, 48.90726686266162)]","['unknown', 'parking', 'bicycle_parking', 'parking_entrance', 'restaurant', 'parking', 'toilets']","[('Gronau', 'building', 'yes', 133546517), ('Darmstadt', 'amenity', 'parking', 26278806), ('Darmstadt', 'leisure', 'sports_centre', 1110585300), ('Stuttgart', 'highway', 'unclassified', 369944807), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'man_made', 'bridge', 3672953), ('Niefern', 'highway', 'services', 391819383)]",7
