venue_type,day,hour,pair
shopping,2024-05-08,17,157.0
shopping,2024-05-08,18,132.0
shopping,2024-05-08,19,78.0
shopping,2024-05-08,20,53.0
shopping,2024-05-08,21,26.0
shopping,2024-05-08,22,10.0
shopping,2024-05-08,23,9.0
shopping,2024-05-09,0,8.0
shopping,2024-05-09,1,9.0
shopping,2024-05-09,2,5.0
shopping,2024-05-09,3,2.0
shopping,2024-05-09,4,4.0
shopping,2024-05-09,5,3.0
shopping,2024-05-09,6,
shopping,2024-05-09,7,4.0
shopping,2024-05-09,8,4.0
shopping,2024-05-09,9,9.0
shopping,2024-05-09,10,15.0
shopping,2024-05-09,11,22.0
shopping,2024-05-09,12,24.0
shopping,2024-05-09,13,35.0
shopping,2024-05-09,14,22.0
shopping,2024-05-09,15,19.0
shopping,2024-05-09,16,24.0
shopping,2024-05-09,17,28.0
shopping,2024-05-09,18,27.0
shopping,2024-05-09,19,15.0
shopping,2024-05-09,20,8.0
shopping,2024-05-09,21,12.0
shopping,2024-05-09,22,4.0
shopping,2024-05-09,23,4.0
shopping,2024-05-10,0,3.0
shopping,2024-05-10,1,3.0
shopping,2024-05-10,2,
shopping,2024-05-10,3,1.0
shopping,2024-05-10,4,4.0
shopping,2024-05-10,5,3.0
shopping,2024-05-10,6,5.0
shopping,2024-05-10,7,40.0
shopping,2024-05-10,8,86.0
shopping,2024-05-10,9,123.0
shopping,2024-05-10,10,230.0
shopping,2024-05-10,11,227.0
shopping,2024-05-10,12,243.0
shopping,2024-05-10,13,223.0
shopping,2024-05-10,14,169.0
shopping,2024-05-10,15,169.0
shopping,2024-05-10,16,144.0
shopping,2024-05-10,17,142.0
shopping,2024-05-10,18,91.0
shopping,2024-05-10,19,65.0
shopping,2024-05-10,20,26.0
shopping,2024-05-10,21,22.0
shopping,2024-05-10,22,13.0
shopping,2024-05-10,23,10.0
shopping,2024-05-11,0,3.0
shopping,2024-05-11,1,1.0
shopping,2024-05-11,2,2.0
shopping,2024-05-11,3,4.0
shopping,2024-05-11,4,1.0
shopping,2024-05-11,5,1.0
shopping,2024-05-11,6,6.0
shopping,2024-05-11,7,26.0
shopping,2024-05-11,8,46.0
shopping,2024-05-11,9,72.0
shopping,2024-05-11,10,148.0
shopping,2024-05-11,11,186.0
shopping,2024-05-11,12,220.0
shopping,2024-05-11,13,158.0
shopping,2024-05-11,14,178.0
shopping,2024-05-11,15,111.0
shopping,2024-05-11,16,101.0
shopping,2024-05-11,17,100.0
shopping,2024-05-11,18,107.0
shopping,2024-05-11,19,57.0
shopping,2024-05-11,20,38.0
shopping,2024-05-11,21,19.0
shopping,2024-05-11,22,20.0
shopping,2024-05-11,23,8.0
shopping,2024-05-12,0,4.0
shopping,2024-05-12,1,4.0
shopping,2024-05-12,2,3.0
shopping,2024-05-12,3,3.0
shopping,2024-05-12,4,3.0
shopping,2024-05-12,5,3.0
shopping,2024-05-12,6,5.0
shopping,2024-05-12,7,2.0
shopping,2024-05-12,8,4.0
shopping,2024-05-12,9,17.0
shopping,2024-05-12,10,15.0
shopping,2024-05-12,11,18.0
shopping,2024-05-12,12,27.0
shopping,2024-05-12,13,23.0
shopping,2024-05-12,14,23.0
shopping,2024-05-12,15,19.0
shopping,2024-05-12,16,22.0
shopping,2024-05-12,17,15.0
shopping,2024-05-12,18,24.0
shopping,2024-05-12,19,15.0
shopping,2024-05-12,20,8.0
shopping,2024-05-12,21,4.0
shopping,2024-05-12,22,3.0
shopping,2024-05-12,23,4.0
shopping,2024-05-13,0,1.0
shopping,2024-05-13,1,
shopping,2024-05-13,2,1.0
shopping,2024-05-13,3,
shopping,2024-05-13,4,
shopping,2024-05-13,5,4.0
shopping,2024-05-13,6,5.0
shopping,2024-05-13,7,24.0
shopping,2024-05-13,8,54.0
shopping,2024-05-13,9,82.0
shopping,2024-05-13,10,80.0
shopping,2024-05-13,11,106.0
shopping,2024-05-13,12,83.0
shopping,2024-05-13,13,86.0
shopping,2024-05-13,14,65.0
shopping,2024-05-13,15,79.0
shopping,2024-05-13,16,87.0
shopping,2024-05-13,17,89.0
shopping,2024-05-13,18,63.0
shopping,2024-05-13,19,36.0
shopping,2024-05-13,20,16.0
shopping,2024-05-13,21,13.0
shopping,2024-05-13,22,3.0
shopping,2024-05-13,23,1.0
shopping,2024-05-14,0,1.0
shopping,2024-05-14,1,1.0
shopping,2024-05-14,2,
shopping,2024-05-14,3,
shopping,2024-05-14,4,3.0
shopping,2024-05-14,5,3.0
shopping,2024-05-14,6,7.0
shopping,2024-05-14,7,20.0
shopping,2024-05-14,8,28.0
shopping,2024-05-14,9,67.0
shopping,2024-05-14,10,91.0
shopping,2024-05-14,11,84.0
shopping,2024-05-14,12,76.0
shopping,2024-05-14,13,56.0
