day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-05-03,München,254,0,0.8316183348924228,0.8316183348924228
2024-05-03,Stuttgart,372,0,0.8797297297297297,0.8797297297297297
2024-05-04,Berlin,2804,0,1.223461946020071,1.223461946020071
2024-05-04,Dortmund,920,126,1.400913639329998,1.5927778986295411
2024-05-04,Düsseldorf,360,0,0.5133428396822163,0.5133428396822163
2024-05-04,Frankfurt am Main,352,0,0.9329799318439985,0.9329799318439985
2024-05-04,Gelsenkirchen,518,0,1.1398931153725242,1.1398931153725242
2024-05-04,Hamburg,1422,0,0.9149738027392224,0.9149738027392224
2024-05-04,Köln,1176,46,1.4232365145228214,1.4789073305670815
2024-05-04,Leipzig,1344,0,1.3222768798313422,1.3222768798313422
2024-05-04,München,260,0,0.8674928503336511,0.8674928503336511
2024-05-04,Stuttgart,930,96,1.9444444444444444,2.1451612903225805
2024-05-05,Berlin,1442,14,1.0306309985705535,1.0406371247702675
2024-05-05,Dortmund,498,0,1.3532608695652173,1.3532608695652173
2024-05-05,Düsseldorf,262,0,0.6899924755455229,0.6899924755455229
2024-05-05,Frankfurt am Main,272,46,0.9704383282364935,1.1345565749235473
2024-05-05,Gelsenkirchen,332,0,1.1808943089430892,1.1808943089430892
2024-05-05,Hamburg,846,0,0.761378246335819,0.761378246335819
2024-05-05,Köln,524,0,0.8401282638570775,0.8401282638570775
2024-05-05,Leipzig,680,0,1.1306413301662708,1.1306413301662708
2024-05-05,München,154,0,0.7475728155339806,0.7475728155339806
2024-05-05,Stuttgart,228,0,0.9344262295081968,0.9344262295081968
2024-05-06,Berlin,2566,0,1.019930725114985,1.019930725114985
2024-05-06,Dortmund,694,0,1.3836513813728284,1.3836513813728284
2024-05-06,Düsseldorf,552,2,1.1621052631578948,1.1663157894736842
2024-05-06,Frankfurt am Main,382,0,0.9794871794871794,0.9794871794871794
2024-05-06,Gelsenkirchen,586,0,1.2061158482799177,1.2061158482799177
2024-05-06,Hamburg,1410,0,0.9964664310954063,0.9964664310954063
2024-05-06,Köln,758,0,1.237695358059249,1.237695358059249
2024-05-06,Leipzig,1166,0,1.1782878591020645,1.1782878591020645
2024-05-06,München,214,0,0.8487252124645892,0.8487252124645892
2024-05-06,Stuttgart,334,0,0.8842662632375189,0.8842662632375189
2024-05-07,Berlin,2692,0,0.995614730279495,0.995614730279495
2024-05-07,Dortmund,714,0,1.2720794095189614,1.2720794095189614
2024-05-07,Düsseldorf,512,2,1.0597279716144292,1.0638675340035482
2024-05-07,Frankfurt am Main,420,0,0.9542356377799415,0.9542356377799415
2024-05-07,Gelsenkirchen,592,0,1.1716143624540571,1.1716143624540571
2024-05-07,Hamburg,1306,0,0.8787849658752284,0.8787849658752284
2024-05-07,Köln,670,0,0.9305555555555556,0.9305555555555556
2024-05-07,Leipzig,1152,0,1.0940170940170941,1.0940170940170941
2024-05-07,München,298,0,1.0708418891170433,1.0708418891170433
