did,centroids_ar,types,nominatim,len
3AA546B50BE1AD437AFD54844C9B69382024-07-05,"[(9.11518591551981, 48.69349715314889), (9.206836208209605, 48.96001305069125), (9.233162297108874, 48.79192371981148)]","['unknown', 'bank', 'unknown']","[('Musberg', 'building', 'yes', 171039358), ('Pleidelsheim', 'building', 'yes', 268207739), ('Stuttgart', 'leisure', 'stadium', 3869991)]",3
3B36256507086426F597CA253B5DC2F32024-06-19,"[(9.164101508830118, 48.84889964704595), (9.188755956980705, 48.805076005573405), (9.191557581826801, 48.78820520337513), (9.195287312851672, 48.790026247699274), (9.207568855414959, 48.799630777867236), (9.22049547742106, 48.78991050110302), (9.216701763192411, 48.79814055455169), (9.231565795584954, 48.79171609557955), (9.147350636565585, 48.83802884031257)]","['charging_station', 'unknown', 'restaurant', 'parking', 'bench', 'unknown', 'unknown', 'unknown', 'fast_food']","[('Stuttgart', 'building', 'yes', 312827844), ('Stuttgart', 'building', 'residential', 89207863), ('Stuttgart', 'building', 'dormitory', 390925644), ('Stuttgart', 'leisure', 'pitch', 166024301), ('Stuttgart', 'amenity', 'bench', 3659717236), ('Stuttgart', 'man_made', 'works', 24551970), ('Stuttgart', 'highway', 'pedestrian', 14247592), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'building', 'hotel', 100006308)]",9
3BAD71931D0048B5A4317A7469EED1A22024-06-19,"[(10.13295346884876, 50.01338869839736), (9.728588728180053, 49.628185429353216), (9.136256731680236, 48.83017109041867), (9.107599016905091, 48.8196593367605), (9.111101824956467, 48.813610240021276), (9.193791436752447, 48.78827175015131), (9.205100673953712, 48.79661503624668), (9.23167895914478, 48.793191766488576), (9.199228381742133, 48.791425120599435), (9.185800066293247, 48.78441945839089)]","['unknown', 'toilets', 'restaurant', 'bench', 'doctors', 'fast_food', 'grit_bin', 'unknown', 'casino', 'bicycle_parking']","[('Schnackenwerth', 'building', 'yes', 157776658), ('Grünsfeldhausen', 'highway', 'services', 222181144), ('unknown', 'amenity', 'restaurant', 44038015), ('Stuttgart', 'building', 'yes', 104057273), ('Stuttgart', 'building', 'yes', 47077014), ('Stuttgart', 'emergency', 'ambulance_station', 115476022), ('Stuttgart', 'highway', 'primary', 762201609), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'building', 'yes', 124106523), ('Stuttgart', 'amenity', 'vending_machine', 11903357435)]",10
4DB08C948D5A970DDA33C3E3E2F8DB1F2024-07-05,"[(10.106948992300996, 48.78487596609789), (9.233162297108874, 48.79192371981148), (10.241729870110527, 48.69930066660917)]","['parking', 'unknown', 'fountain']","[('Oberkochen', 'building', 'semidetached_house', 298890688), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Nattheim', 'amenity', 'post_box', 912112079)]",3
4FBA5DD7D79D201ED43E872A1C7D771B2024-06-19,"[(9.237937258091176, 48.78945413051985)]",['waste_basket'],"[('Stuttgart', 'leisure', 'pitch', 25216081)]",1
4FBA5DD7D79D201ED43E872A1C7D771B2024-07-05,"[(9.237830894606196, 48.78945435003565), (9.232521811336166, 48.79143304745744), (9.203323002144874, 49.1980486781136)]","['waste_basket', 'unknown', 'unknown']","[('Stuttgart', 'leisure', 'pitch', 25216081), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Neckarsulm', 'building', 'farm', 58824252)]",3
50F4BF133527B3901FA8791CDC493D842024-06-19,"[(9.167811131013558, 48.779878790100376), (9.229440351779955, 48.79214203123625)]","['atm', 'post_box']","[('Stuttgart', 'amenity', 'cinema', 109647363), ('Stuttgart', 'tourism', 'attraction', 136082204)]",2
51B3982FB5EF4E847D6669701C6C921F2024-06-19,"[(9.737068095683972, 52.392315380706854), (9.74140112040797, 52.376053124176), (9.23104169864702, 48.791715240023365), (9.180912364940742, 48.78569229049323)]","['doctors', 'post_box', 'unknown', 'car_rental']","[('Hannover', 'building', 'yes', 184874533), ('Hannover', 'amenity', 'fast_food', 347160928), ('Stuttgart', 'leisure', 'stadium', 3869991), ('Stuttgart', 'shop', 'ticket', 6742566677)]",4
52699F69322B6B9C75E604D5E7BB8AD22024-06-19,"[(9.228696086556306, 48.79178594822734)]",['parking'],"[('Stuttgart', 'leisure', 'pitch', 25216449)]",1
52B1BA72AB821206A3BF3B3012671C962024-07-05,"[(9.297937523510283, 49.0064787205032), (9.302206246163705, 49.00330120714575), (9.380081410850126, 48.86525719894366), (9.179734669570223, 48.7835154238815), (9.177277697789442, 48.780426866399345), (9.229975088770889, 48.79277349341435)]","['unknown', 'unknown', 'parking', 'restaurant', 'fast_food', 'exhibition_centre']","[('Großbottwar', 'building', 'apartments', 475396707), ('Großbottwar', 'building', 'industrial', 89295661), ('Winnenden', 'building', 'residential', 396961411), ('Stuttgart', 'building', 'hotel', 90724485), ('Stuttgart', 'amenity', 'pub', 309783043), ('Stuttgart', 'tourism', 'attraction', 136082204)]",6
