Date,Time,City,Population,Result,NormalizedResult
2024-05-25,21:00,Leipzig,600894,[226. 188. 172. 113.  91.  74.  59.  58.  40.  14.  20.  11.   4.],"[0.21121495327102804, 0.17570093457943925, 0.16074766355140188, 0.10560747663551402, 0.08504672897196262, 0.0691588785046729, 0.05514018691588785, 0.05420560747663551, 0.037383177570093455, 0.013084112149532711, 0.018691588785046728, 0.010280373831775701, 0.003738317757009346]"
2024-05-26,15:00,Leipzig,600894,[ 53. 100. 115. 132. 119.  90.  82.  79. 127. 113.  95.  56.  51.],"[0.04372937293729373, 0.08250825082508251, 0.09488448844884488, 0.10891089108910891, 0.09818481848184818, 0.07425742574257425, 0.06765676567656766, 0.06518151815181518, 0.10478547854785479, 0.09323432343234324, 0.07838283828382839, 0.0462046204620462, 0.04207920792079208]"
2024-05-26,18:00,Leipzig,600894,[132. 119.  90.  82.  79. 127. 113.  95.  56.  51.  34.  17.   8.],"[0.13160518444666003, 0.11864406779661017, 0.0897308075772682, 0.08175473579262213, 0.07876370887337986, 0.12662013958125623, 0.11266201395812563, 0.09471585244267199, 0.05583250249252243, 0.05084745762711865, 0.03389830508474576, 0.01694915254237288, 0.007976071784646061]"
2024-05-26,21:00,Leipzig,600894,[ 82.  79. 127. 113.  95.  56.  51.  34.  17.   8.   3.   9.   5.],"[0.12076583210603829, 0.11634756995581738, 0.187039764359352, 0.16642120765832105, 0.13991163475699558, 0.08247422680412371, 0.07511045655375552, 0.050073637702503684, 0.025036818851251842, 0.011782032400589101, 0.004418262150220913, 0.013254786450662739, 0.007363770250368188]"
2024-05-27,15:00,Leipzig,600894,[159. 163. 144. 149. 128. 197. 220. 211. 186. 125.  63.  51.  52.],"[0.08603896103896104, 0.0882034632034632, 0.07792207792207792, 0.08062770562770563, 0.06926406926406926, 0.1066017316017316, 0.11904761904761904, 0.11417748917748918, 0.10064935064935066, 0.06764069264069264, 0.03409090909090909, 0.027597402597402596, 0.02813852813852814]"
2024-05-27,18:00,Leipzig,600894,[149. 128. 197. 220. 211. 186. 125.  63.  51.  52.  30.  16.  13.],"[0.10340041637751561, 0.08882720333102012, 0.13671061762664816, 0.15267175572519084, 0.14642609299097847, 0.12907702984038863, 0.08674531575294935, 0.04371963913948647, 0.03539208882720333, 0.03608605135322693, 0.020818875780707843, 0.011103400416377515, 0.009021512838306732]"
2024-05-27,21:00,Leipzig,600894,[220. 211. 186. 125.  63.  51.  52.  30.  16.  13.   7.   8.   2.],"[0.22357723577235772, 0.21443089430894308, 0.18902439024390244, 0.12703252032520326, 0.06402439024390244, 0.051829268292682924, 0.052845528455284556, 0.03048780487804878, 0.016260162601626018, 0.013211382113821139, 0.007113821138211382, 0.008130081300813009, 0.0020325203252032522]"
2024-05-28,15:00,Leipzig,600894,[163. 140. 149. 170. 148. 243. 185. 293. 202. 185.  75.  91.  60.],"[0.07747148288973384, 0.06653992395437262, 0.07081749049429657, 0.08079847908745247, 0.07034220532319392, 0.11549429657794677, 0.0879277566539924, 0.13925855513307986, 0.09600760456273764, 0.0879277566539924, 0.03564638783269962, 0.04325095057034221, 0.028517110266159697]"
2024-05-28,18:00,Leipzig,600894,[170. 148. 243. 185. 293. 202. 185.  75.  91.  60.  32.  15.   6.],"[0.09970674486803519, 0.08680351906158358, 0.14252199413489736, 0.10850439882697947, 0.1718475073313783, 0.11847507331378299, 0.10850439882697947, 0.04398826979472141, 0.05337243401759531, 0.03519061583577713, 0.0187683284457478, 0.008797653958944282, 0.0035190615835777126]"
2024-05-28,21:00,Leipzig,600894,[185. 293. 202. 185.  75.  91.  60.  32.  15.   6.   6.   4.   6.],"[0.15948275862068967, 0.2525862068965517, 0.17413793103448275, 0.15948275862068967, 0.06465517241379311, 0.07844827586206897, 0.05172413793103448, 0.027586206896551724, 0.01293103448275862, 0.005172413793103448, 0.005172413793103448, 0.0034482758620689655, 0.005172413793103448]"
2024-05-29,15:00,Leipzig,600894,[151. 108. 151. 141. 116. 156. 232. 206. 184. 124.  65.  65.  44.],"[0.08663224325874928, 0.06196213425129088, 0.08663224325874928, 0.08089500860585198, 0.06655192197360872, 0.08950086058519793, 0.13310384394721744, 0.11818703384968446, 0.10556511761331039, 0.07114170969592656, 0.037292025243832475, 0.037292025243832475, 0.025243832472748137]"
2024-05-29,18:00,Leipzig,600894,[141. 116. 156. 232. 206. 184. 124.  65.  65.  44.  38.  20.   9.],"[0.10071428571428571, 0.08285714285714285, 0.11142857142857143, 0.1657142857142857, 0.14714285714285713, 0.13142857142857142, 0.08857142857142856, 0.04642857142857143, 0.04642857142857143, 0.03142857142857143, 0.027142857142857142, 0.014285714285714285, 0.0064285714285714285]"
2024-05-29,21:00,Leipzig,600894,[232. 206. 184. 124.  65.  65.  44.  38.  20.   9.   8.   7.   2.],"[0.23107569721115537, 0.2051792828685259, 0.18326693227091634, 0.12350597609561753, 0.0647410358565737, 0.0647410358565737, 0.043824701195219126, 0.037848605577689244, 0.0199203187250996, 0.008964143426294821, 0.00796812749003984, 0.0069721115537848604, 0.00199203187250996]"
2024-05-30,15:00,Leipzig,600894,[161. 171. 149. 182. 148. 212. 222. 307. 223. 150. 131. 106.  74.],"[0.0720035778175313, 0.07647584973166369, 0.06663685152057246, 0.08139534883720931, 0.06618962432915922, 0.09481216457960644, 0.09928443649373882, 0.13729874776386405, 0.09973166368515206, 0.06708407871198568, 0.05858676207513417, 0.04740608228980322, 0.03309481216457961]"
2024-05-30,18:00,Leipzig,600894,[182. 148. 212. 222. 307. 223. 150. 131. 106.  74.  47.  12.  15.],"[0.09950792782941498, 0.08091853471842538, 0.11591033351558229, 0.12137780207763806, 0.16785128485511208, 0.12192454893384364, 0.08201202843083652, 0.07162383816293057, 0.057955166757791145, 0.04045926735921269, 0.02569710224166211, 0.0065609622744669215, 0.008201202843083653]"
