City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Dortmund,2024-06-25,18:00,588462,France 1 - 1 Poland,Group D,[ 27.  35.  31.  67.  87. 107.  56.  24.  28.  13.   4.   5.   1.],France 1 - 1 Poland,"[0.05567010309278351, 0.07216494845360824, 0.06391752577319587, 0.13814432989690723, 0.17938144329896907, 0.22061855670103092, 0.1154639175257732, 0.049484536082474224, 0.0577319587628866, 0.026804123711340205, 0.008247422680412371, 0.010309278350515464, 0.002061855670103093]"
München,2024-06-17,15:00,1488202,Romania 3 - 0 Ukraine,Group E,[12.  5. 19. 14. 18. 20. 20. 24. 33. 14. 10.  5.  5.],Romania 3 - 0 Ukraine,"[0.06030150753768844, 0.02512562814070352, 0.09547738693467336, 0.07035175879396985, 0.09045226130653267, 0.10050251256281408, 0.10050251256281408, 0.12060301507537688, 0.1658291457286432, 0.07035175879396985, 0.05025125628140704, 0.02512562814070352, 0.02512562814070352]"
Frankfurt am Main,2024-06-17,18:00,753056,Belgium 0 - 1 Slovakia,Group E,[15. 29. 19. 31. 20. 49. 13. 18. 12. 10.  4.  5.  0.],Belgium 0 - 1 Slovakia,"[0.06666666666666667, 0.1288888888888889, 0.08444444444444445, 0.13777777777777778, 0.08888888888888889, 0.21777777777777776, 0.057777777777777775, 0.08, 0.05333333333333334, 0.044444444444444446, 0.017777777777777778, 0.022222222222222223, 0.0]"
Düsseldorf,2024-06-21,15:00,617280,Slovakia 1 - 2 Ukraine,Group E,[45. 42. 38. 44. 45. 65. 87. 77. 53. 30.  8. 10.  5.],Slovakia 1 - 2 Ukraine,"[0.08196721311475409, 0.07650273224043716, 0.0692167577413479, 0.08014571948998178, 0.08196721311475409, 0.11839708561020036, 0.15846994535519127, 0.14025500910746813, 0.0965391621129326, 0.0546448087431694, 0.014571948998178506, 0.018214936247723135, 0.009107468123861567]"
Köln,2024-06-22,21:00,1080394,Belgium 2 - 0 Romania,Group E,[55. 64. 48. 44. 25. 30. 17. 18. 14. 14.  6.  4.  0.],Belgium 2 - 0 Romania,"[0.16224188790560473, 0.1887905604719764, 0.1415929203539823, 0.12979351032448377, 0.07374631268436578, 0.08849557522123894, 0.05014749262536873, 0.05309734513274336, 0.04129793510324484, 0.04129793510324484, 0.017699115044247787, 0.011799410029498525, 0.0]"
Frankfurt am Main,2024-06-26,18:00,753056,Slovakia 1 - 1 Romania,Group E,[13. 31. 21. 26. 65. 64. 38. 41. 20. 29. 13. 12.  3.],Slovakia 1 - 1 Romania,"[0.034574468085106384, 0.08244680851063829, 0.05585106382978723, 0.06914893617021277, 0.17287234042553193, 0.1702127659574468, 0.10106382978723404, 0.10904255319148937, 0.05319148936170213, 0.07712765957446809, 0.034574468085106384, 0.031914893617021274, 0.007978723404255319]"
Stuttgart,2024-06-26,18:00,635911,Ukraine 0 - 0 Belgium,Group E,[ 13.  23.  27.  53. 100. 119.  57.  37.  16.   2.   4.   2.   4.],Ukraine 0 - 0 Belgium,"[0.028446389496717725, 0.05032822757111598, 0.05908096280087528, 0.11597374179431072, 0.2188183807439825, 0.2603938730853392, 0.12472647702407003, 0.08096280087527352, 0.0350109409190372, 0.00437636761487965, 0.0087527352297593, 0.00437636761487965, 0.0087527352297593]"
Dortmund,2024-06-18,18:00,588462,Turkey 3 - 1 Georgia,Group F,[ 37.  35.  39.  69. 123. 133.  55.  53.  51.  19.   8.   2.   3.],Turkey 3 - 1 Georgia,"[0.05901116427432217, 0.05582137161084529, 0.06220095693779904, 0.11004784688995216, 0.19617224880382775, 0.21212121212121213, 0.08771929824561403, 0.08452950558213716, 0.08133971291866028, 0.030303030303030304, 0.012759170653907496, 0.003189792663476874, 0.004784688995215311]"
Leipzig,2024-06-18,21:00,597493,Portugal 2 - 1 Czechia,Group F,[129. 131. 129.  65.  36.  59.  17.  12.  11.   4.   4.   0.   3.],Portugal 2 - 1 Czechia,"[0.215, 0.21833333333333332, 0.215, 0.10833333333333334, 0.06, 0.09833333333333333, 0.028333333333333332, 0.02, 0.018333333333333333, 0.006666666666666667, 0.006666666666666667, 0.0, 0.005]"
Hamburg,2024-06-22,15:00,1841179,Georgia 1 - 1 Czechia,Group F,[ 79.  91. 168. 169. 160. 125. 112. 115. 104.  79.  34.  35.  24.],Georgia 1 - 1 Czechia,"[0.061003861003861, 0.07027027027027027, 0.12972972972972974, 0.1305019305019305, 0.12355212355212356, 0.09652509652509653, 0.08648648648648649, 0.0888030888030888, 0.08030888030888031, 0.061003861003861, 0.026254826254826256, 0.02702702702702703, 0.018532818532818532]"
