City,Date,Time,Population,Match,Group,Result,MatchLabel,NormalizedResult
Leipzig,2024-06-24,21:00,597493,Croatia 1 - 1 Italy,Group B,[48. 51. 50. 40. 16. 18. 13. 12.  6.  4.  3.  0.  2.],Croatia 1 - 1 Italy,"[0.18250950570342206, 0.19391634980988592, 0.19011406844106463, 0.1520912547528517, 0.060836501901140684, 0.06844106463878327, 0.049429657794676805, 0.045627376425855515, 0.022813688212927757, 0.015209125475285171, 0.011406844106463879, 0.0, 0.0076045627376425855]"
Düsseldorf,2024-06-24,21:00,619294,Albania 0 - 1 Spain,Group B,[22. 39. 22. 29. 17. 30. 18. 11.  8.  2.  1.  2.  5.],Albania 0 - 1 Spain,"[0.10679611650485436, 0.18932038834951456, 0.10679611650485436, 0.1407766990291262, 0.0825242718446602, 0.14563106796116504, 0.08737864077669903, 0.05339805825242718, 0.038834951456310676, 0.009708737864077669, 0.0048543689320388345, 0.009708737864077669, 0.024271844660194174]"
Stuttgart,2024-06-16,18:00,634830,Slovenia 1 - 1 Denmark,Group C,[11. 16.  9. 11. 17. 47.  9. 11.  1.  4.  2.  2.  0.],Slovenia 1 - 1 Denmark,"[0.07857142857142857, 0.11428571428571428, 0.06428571428571428, 0.07857142857142857, 0.12142857142857143, 0.3357142857142857, 0.06428571428571428, 0.07857142857142857, 0.007142857142857143, 0.02857142857142857, 0.014285714285714285, 0.014285714285714285, 0.0]"
Gelsenkirchen,2024-06-16,21:00,260000,Serbia 0 - 1 England,Group C,[19.  9. 12. 20. 12. 25.  8.  4.  3.  6.  5.  3.  2.],Serbia 0 - 1 England,"[0.1484375, 0.0703125, 0.09375, 0.15625, 0.09375, 0.1953125, 0.0625, 0.03125, 0.0234375, 0.046875, 0.0390625, 0.0234375, 0.015625]"
München,2024-06-20,15:00,1472000,Slovenia 1 - 1 Serbia,Group C,[22. 10.  7. 11. 12. 18. 20. 13. 17. 11.  5.  4.  1.],Slovenia 1 - 1 Serbia,"[0.1456953642384106, 0.06622516556291391, 0.046357615894039736, 0.0728476821192053, 0.07947019867549669, 0.11920529801324503, 0.13245033112582782, 0.08609271523178808, 0.11258278145695365, 0.0728476821192053, 0.033112582781456956, 0.026490066225165563, 0.006622516556291391]"
Frankfurt am Main,2024-06-20,18:00,753056,Denmark 1 - 1 England,Group C,[23. 13. 25. 23. 18. 31. 22.  9. 14. 10.  8.  9.  1.],Denmark 1 - 1 England,"[0.11165048543689321, 0.06310679611650485, 0.12135922330097088, 0.11165048543689321, 0.08737864077669903, 0.15048543689320387, 0.10679611650485436, 0.043689320388349516, 0.06796116504854369, 0.04854368932038835, 0.038834951456310676, 0.043689320388349516, 0.0048543689320388345]"
Köln,2024-06-25,21:00,1085664,England 0 - 0 Slovenia,Group C,[35. 30. 35. 28. 36. 47. 52. 15.  9.  4.  2.  2.  0.],England 0 - 0 Slovenia,"[0.11864406779661017, 0.1016949152542373, 0.11864406779661017, 0.09491525423728814, 0.12203389830508475, 0.15932203389830507, 0.17627118644067796, 0.05084745762711865, 0.030508474576271188, 0.013559322033898305, 0.006779661016949152, 0.006779661016949152, 0.0]"
München,2024-06-25,21:00,1472000,Denmark 0 - 0 Serbia,Group C,[10. 24. 13. 13. 12. 14.  1.  1.  2.  1.  0.  1.  0.],Denmark 0 - 0 Serbia,"[0.10869565217391304, 0.2608695652173913, 0.14130434782608695, 0.14130434782608695, 0.13043478260869565, 0.15217391304347827, 0.010869565217391304, 0.010869565217391304, 0.021739130434782608, 0.010869565217391304, 0.0, 0.010869565217391304, 0.0]"
Hamburg,2024-06-16,15:00,1841179,Poland 1 - 2 Netherlands,Group D,[20. 19. 29. 50. 76. 55. 48. 48. 46. 27. 26. 18. 10.],Poland 1 - 2 Netherlands,"[0.0423728813559322, 0.04025423728813559, 0.0614406779661017, 0.1059322033898305, 0.16101694915254236, 0.11652542372881355, 0.1016949152542373, 0.1016949152542373, 0.09745762711864407, 0.057203389830508475, 0.05508474576271186, 0.038135593220338986, 0.0211864406779661]"
Düsseldorf,2024-06-17,21:00,619294,Austria 0 - 1 France,Group D,[22. 29. 37. 31. 16. 10. 16.  5.  5.  2.  0.  0.  0.],Austria 0 - 1 France,"[0.12716763005780346, 0.1676300578034682, 0.2138728323699422, 0.1791907514450867, 0.09248554913294797, 0.057803468208092484, 0.09248554913294797, 0.028901734104046242, 0.028901734104046242, 0.011560693641618497, 0.0, 0.0, 0.0]"
Berlin,2024-06-21,18:00,3769000,Poland 1 - 3 Austria,Group D,[100. 105. 182. 152. 101. 126.  94.  67.  39.  26.  22.  22.  14.],Poland 1 - 3 Austria,"[0.09523809523809523, 0.1, 0.17333333333333334, 0.14476190476190476, 0.09619047619047619, 0.12, 0.08952380952380952, 0.06380952380952382, 0.037142857142857144, 0.024761904761904763, 0.02095238095238095, 0.02095238095238095, 0.013333333333333334]"
Leipzig,2024-06-21,21:00,597493,Netherlands 0 - 0 France,Group D,[51. 46. 67. 45. 48. 35. 17.  8. 10.  7. 10.  3.  0.],Netherlands 0 - 0 France,"[0.14697406340057637, 0.13256484149855907, 0.1930835734870317, 0.12968299711815562, 0.138328530259366, 0.10086455331412104, 0.04899135446685879, 0.023054755043227664, 0.02881844380403458, 0.020172910662824207, 0.02881844380403458, 0.008645533141210375, 0.0]"
Berlin,2024-06-25,18:00,3769000,Netherlands 2 - 3 Austria,Group D,[ 87. 111. 112. 160. 198. 113.  64.  41.  45.  26.  25.  20.   7.],Netherlands 2 - 3 Austria,"[0.08622398414271557, 0.11000991080277503, 0.1110009910802775, 0.15857284440039643, 0.1962338949454906, 0.11199207135777998, 0.06342913776015857, 0.040634291377601585, 0.044598612487611496, 0.02576808721506442, 0.024777006937561942, 0.019821605550049554, 0.006937561942517344]"
Dortmund,2024-06-25,18:00,588462,France 1 - 1 Poland,Group D,[15. 13. 16. 33. 49. 47. 25. 25.  9.  6.  1.  3.  0.],France 1 - 1 Poland,"[0.06198347107438017, 0.05371900826446281, 0.06611570247933884, 0.13636363636363635, 0.2024793388429752, 0.19421487603305784, 0.10330578512396695, 0.10330578512396695, 0.0371900826446281, 0.024793388429752067, 0.004132231404958678, 0.012396694214876033, 0.0]"
München,2024-06-17,15:00,1488202,Romania 3 - 0 Ukraine,Group E,[ 7.  8. 10. 11. 11. 10. 19. 17. 11.  7.  7.  4.  2.],Romania 3 - 0 Ukraine,"[0.056451612903225805, 0.06451612903225806, 0.08064516129032258, 0.08870967741935484, 0.08870967741935484, 0.08064516129032258, 0.1532258064516129, 0.13709677419354838, 0.08870967741935484, 0.056451612903225805, 0.056451612903225805, 0.03225806451612903, 0.016129032258064516]"
Frankfurt am Main,2024-06-17,18:00,753056,Belgium 0 - 1 Slovakia,Group E,[12. 17. 18. 11. 16. 16. 12. 12. 11.  4.  3.  3.  3.],Belgium 0 - 1 Slovakia,"[0.08695652173913043, 0.12318840579710146, 0.13043478260869565, 0.07971014492753623, 0.11594202898550725, 0.11594202898550725, 0.08695652173913043, 0.08695652173913043, 0.07971014492753623, 0.028985507246376812, 0.021739130434782608, 0.021739130434782608, 0.021739130434782608]"
Düsseldorf,2024-06-21,15:00,617280,Slovakia 1 - 2 Ukraine,Group E,[25. 17. 17. 16. 29. 30. 50. 29. 26. 13.  4.  4.  3.],Slovakia 1 - 2 Ukraine,"[0.09505703422053231, 0.06463878326996197, 0.06463878326996197, 0.060836501901140684, 0.11026615969581749, 0.11406844106463879, 0.19011406844106463, 0.11026615969581749, 0.09885931558935361, 0.049429657794676805, 0.015209125475285171, 0.015209125475285171, 0.011406844106463879]"
Köln,2024-06-22,21:00,1080394,Belgium 2 - 0 Romania,Group E,[29. 34. 28. 33. 19. 14.  6.  9. 11. 14.  4.  4.  0.],Belgium 2 - 0 Romania,"[0.14146341463414633, 0.16585365853658537, 0.13658536585365855, 0.16097560975609757, 0.09268292682926829, 0.06829268292682927, 0.02926829268292683, 0.04390243902439024, 0.05365853658536585, 0.06829268292682927, 0.01951219512195122, 0.01951219512195122, 0.0]"
Frankfurt am Main,2024-06-26,18:00,753056,Slovakia 1 - 1 Romania,Group E,[ 8. 20. 13. 19. 31. 41. 24. 23. 10. 12. 18. 12.  3.],Slovakia 1 - 1 Romania,"[0.03418803418803419, 0.08547008547008547, 0.05555555555555555, 0.0811965811965812, 0.13247863247863248, 0.1752136752136752, 0.10256410256410256, 0.09829059829059829, 0.042735042735042736, 0.05128205128205128, 0.07692307692307693, 0.05128205128205128, 0.01282051282051282]"
Stuttgart,2024-06-26,18:00,635911,Ukraine 0 - 0 Belgium,Group E,[ 8. 11. 14. 23. 38. 71. 33. 18. 14.  2.  5.  0.  0.],Ukraine 0 - 0 Belgium,"[0.03375527426160337, 0.046413502109704644, 0.05907172995780591, 0.0970464135021097, 0.16033755274261605, 0.29957805907172996, 0.13924050632911392, 0.0759493670886076, 0.05907172995780591, 0.008438818565400843, 0.02109704641350211, 0.0, 0.0]"
Dortmund,2024-06-18,18:00,588462,Turkey 3 - 1 Georgia,Group F,[20. 15. 21. 31. 65. 81. 47. 37. 26.  8.  5.  3.  1.],Turkey 3 - 1 Georgia,"[0.05555555555555555, 0.041666666666666664, 0.058333333333333334, 0.08611111111111111, 0.18055555555555555, 0.225, 0.13055555555555556, 0.10277777777777777, 0.07222222222222222, 0.022222222222222223, 0.013888888888888888, 0.008333333333333333, 0.002777777777777778]"
Leipzig,2024-06-18,21:00,597493,Portugal 2 - 1 Czechia,Group F,[58. 77. 67. 41. 25. 33. 11.  8. 11.  3.  4.  2.  2.],Portugal 2 - 1 Czechia,"[0.1695906432748538, 0.22514619883040934, 0.195906432748538, 0.11988304093567251, 0.07309941520467836, 0.09649122807017543, 0.03216374269005848, 0.023391812865497075, 0.03216374269005848, 0.008771929824561403, 0.011695906432748537, 0.005847953216374269, 0.005847953216374269]"
Hamburg,2024-06-22,15:00,1841179,Georgia 1 - 1 Czechia,Group F,[39. 41. 93. 76. 77. 59. 71. 53. 55. 44. 20. 23. 24.],Georgia 1 - 1 Czechia,"[0.057777777777777775, 0.06074074074074074, 0.13777777777777778, 0.11259259259259259, 0.11407407407407408, 0.0874074074074074, 0.10518518518518519, 0.07851851851851852, 0.08148148148148149, 0.06518518518518518, 0.02962962962962963, 0.034074074074074076, 0.035555555555555556]"
Dortmund,2024-06-22,18:00,588462,Turkey 0 - 3 Portugal,Group F,[22. 35. 40. 34. 44. 70. 21. 27. 53. 16. 12.  4.  4.],Turkey 0 - 3 Portugal,"[0.05759162303664921, 0.09162303664921466, 0.10471204188481675, 0.08900523560209424, 0.11518324607329843, 0.18324607329842932, 0.0549738219895288, 0.07068062827225131, 0.1387434554973822, 0.041884816753926704, 0.031413612565445025, 0.010471204188481676, 0.010471204188481676]"
Gelsenkirchen,2024-06-26,21:00,260000,Georgia 2 - 0 Portugal,Group F,[31. 29. 26. 25. 36. 43. 13. 24. 12.  4.  3.  0.  0.],Georgia 2 - 0 Portugal,"[0.12601626016260162, 0.11788617886178862, 0.10569105691056911, 0.1016260162601626, 0.14634146341463414, 0.17479674796747968, 0.052845528455284556, 0.0975609756097561, 0.04878048780487805, 0.016260162601626018, 0.012195121951219513, 0.0, 0.0]"
Hamburg,2024-06-26,21:00,1841179,Czechia 1 - 2 Turkey,Group F,[ 83. 101.  72.  51.  30.  37.  21.   9.  10.   4.   4.   3.   5.],Czechia 1 - 2 Turkey,"[0.1930232558139535, 0.23488372093023255, 0.16744186046511628, 0.1186046511627907, 0.06976744186046512, 0.08604651162790698, 0.04883720930232558, 0.020930232558139535, 0.023255813953488372, 0.009302325581395349, 0.009302325581395349, 0.0069767441860465115, 0.011627906976744186]"
Dortmund,2024-06-29,21:00,588462,Germany 2 - 0 Denmark,,[ 35.  32.  30.  69. 142. 119.  68.  79.  26.  15.   3.   1.   0.],Germany 2 - 0 Denmark,"[0.05654281098546042, 0.051696284329563816, 0.048465266558966075, 0.11147011308562198, 0.2294022617124394, 0.19224555735056542, 0.1098546042003231, 0.12762520193861066, 0.0420032310177706, 0.024232633279483037, 0.004846526655896607, 0.0016155088852988692, 0.0]"
Berlin,2024-06-29,18:00,3644826,Switzerland 2 - 0 Italy,,[ 82. 114.  70.  72. 105. 121.  99. 104.  94.  58.  32.  44.  35.],Switzerland 2 - 0 Italy,"[0.07961165048543689, 0.11067961165048544, 0.06796116504854369, 0.06990291262135923, 0.10194174757281553, 0.11747572815533981, 0.09611650485436893, 0.10097087378640776, 0.0912621359223301, 0.05631067961165048, 0.031067961165048542, 0.04271844660194175, 0.03398058252427184]"
Gelsenkirchen,2024-06-30,18:00,260000,England 2 - 1 Slovakia ,,[17. 16. 12. 25. 33. 43. 22. 14. 24.  8.  7.  4.  0.],England 2 - 1 Slovakia ,"[0.07555555555555556, 0.07111111111111111, 0.05333333333333334, 0.1111111111111111, 0.14666666666666667, 0.19111111111111112, 0.09777777777777778, 0.06222222222222222, 0.10666666666666667, 0.035555555555555556, 0.03111111111111111, 0.017777777777777778, 0.0]"
Köln,2024-06-30,21:00,1085664,Spain 4 - 1 Georgia,,[27. 20. 31. 36. 25. 34.  9. 10.  5.  3.  0.  3.  1.],Spain 4 - 1 Georgia,"[0.1323529411764706, 0.09803921568627451, 0.15196078431372548, 0.17647058823529413, 0.12254901960784313, 0.16666666666666666, 0.04411764705882353, 0.049019607843137254, 0.024509803921568627, 0.014705882352941176, 0.0, 0.014705882352941176, 0.004901960784313725]"
Düsseldorf,2024-07-01,18:00,617280,France 1 - 0 Belgium,,[25. 27. 28. 40. 59. 68. 53. 30. 14.  9.  4.  1.  2.],France 1 - 0 Belgium,"[0.06944444444444445, 0.075, 0.07777777777777778, 0.1111111111111111, 0.1638888888888889, 0.18888888888888888, 0.14722222222222223, 0.08333333333333333, 0.03888888888888889, 0.025, 0.011111111111111112, 0.002777777777777778, 0.005555555555555556]"
Frankfurt am Main,2024-07-01,21:00,736414,Portugal 0 - 0 Slovenia,,[12. 25. 18. 11. 24. 13. 15.  9. 11.  4.  7.  0.  0.],Portugal 0 - 0 Slovenia,"[0.08053691275167785, 0.16778523489932887, 0.12080536912751678, 0.0738255033557047, 0.1610738255033557, 0.087248322147651, 0.10067114093959731, 0.06040268456375839, 0.0738255033557047, 0.026845637583892617, 0.04697986577181208, 0.0, 0.0]"
München,2024-07-02,18:00,1471508,Romania 0 - 3 Netherlands,,[17.  9.  8. 23. 16. 18. 13. 14. 15. 10.  2.  2.  0.],Romania 0 - 3 Netherlands,"[0.11564625850340136, 0.061224489795918366, 0.05442176870748299, 0.1564625850340136, 0.10884353741496598, 0.12244897959183673, 0.08843537414965986, 0.09523809523809523, 0.10204081632653061, 0.06802721088435375, 0.013605442176870748, 0.013605442176870748, 0.0]"
Leipzig,2024-07-02,21:00,597493,Austria 1 - 2 Turkey,,[ 53.  75.  66.  55.  73. 112. 107.  62.  14.   3.   1.   0.   1.],Austria 1 - 2 Turkey,"[0.08520900321543408, 0.12057877813504823, 0.10610932475884244, 0.08842443729903537, 0.11736334405144695, 0.18006430868167203, 0.1720257234726688, 0.09967845659163987, 0.022508038585209004, 0.00482315112540193, 0.001607717041800643, 0.0, 0.001607717041800643]"
Stuttgart,2024-07-05,18:00,634830,Spain 2 - 1 Germany,,[20. 15. 16. 35. 54. 80. 21. 26. 21. 19.  7.  8.  2.],Spain 2 - 1 Germany,"[0.06172839506172839, 0.046296296296296294, 0.04938271604938271, 0.10802469135802469, 0.16666666666666666, 0.24691358024691357, 0.06481481481481481, 0.08024691358024691, 0.06481481481481481, 0.05864197530864197, 0.021604938271604937, 0.024691358024691357, 0.006172839506172839]"
Hamburg,2024-07-05,21:00,1841179,Portugal 0 - 0 France ,,[97. 76. 92. 35. 20. 30. 21. 24. 27. 16.  9.  3.  1.],Portugal 0 - 0 France ,"[0.21507760532150777, 0.16851441241685144, 0.2039911308203991, 0.07760532150776053, 0.04434589800443459, 0.06651884700665188, 0.04656319290465632, 0.05321507760532151, 0.0598669623059867, 0.03547671840354767, 0.019955654101995565, 0.0066518847006651885, 0.0022172949002217295]"
Berlin,2024-07-06,18:00,3644826,Netherlands 2 - 1 Turkey,,[ 79.  89.  96.  63. 116. 104.  69. 103.  86.  66.  35.  40.  33.],Netherlands 2 - 1 Turkey,"[0.08069458631256383, 0.09090909090909091, 0.09805924412665985, 0.06435137895812053, 0.118488253319714, 0.1062308478038815, 0.07048008171603677, 0.10520939734422881, 0.08784473953013279, 0.06741573033707865, 0.03575076608784474, 0.04085801838610827, 0.033707865168539325]"
Düsseldorf,2024-07-06,21:00,617280,England 1 - 1 Switzerland,,[22. 19. 13. 17. 11. 14.  8.  5.  5.  5.  1.  1.  1.],England 1 - 1 Switzerland,"[0.18032786885245902, 0.1557377049180328, 0.10655737704918032, 0.13934426229508196, 0.09016393442622951, 0.11475409836065574, 0.06557377049180328, 0.040983606557377046, 0.040983606557377046, 0.040983606557377046, 0.00819672131147541, 0.00819672131147541, 0.00819672131147541]"
München,2024-07-09,21:00,1471508,Spain 2 - 1 France,,[21. 18. 11.  8.  6.  5.  2.  3.  1.  0.  1.  0.  0.],Spain 2 - 1 France,"[0.27631578947368424, 0.23684210526315788, 0.14473684210526316, 0.10526315789473684, 0.07894736842105263, 0.06578947368421052, 0.02631578947368421, 0.039473684210526314, 0.013157894736842105, 0.0, 0.013157894736842105, 0.0, 0.0]"
Dortmund,2024-07-10,21:00,588462,Netherlands 1 - 2 England,,[32. 36. 31. 25.  8. 19. 14.  7. 13.  7.  0.  0.  0.],Netherlands 1 - 2 England,"[0.16666666666666666, 0.1875, 0.16145833333333334, 0.13020833333333334, 0.041666666666666664, 0.09895833333333333, 0.07291666666666667, 0.036458333333333336, 0.06770833333333333, 0.036458333333333336, 0.0, 0.0, 0.0]"
Berlin,2024-07-14,21:00,3644826,Spain 2 - 1 England,,[ 84.  82. 102. 102.  90.  56.  29.  16.  26.  21.  10.   5.   2.],Spain 2 - 1 England,"[0.1344, 0.1312, 0.1632, 0.1632, 0.144, 0.0896, 0.0464, 0.0256, 0.0416, 0.0336, 0.016, 0.008, 0.0032]"
