,Date,Time,City,Population,Result,NormalizedResult
162,2024-05-13,15:00,Frankfurt am Main,764104,[45. 34. 19. 25. 23. 19. 26. 35. 54. 20.  9.  1. 13.],"[0.1393188854489164, 0.10526315789473684, 0.058823529411764705, 0.07739938080495357, 0.07120743034055728, 0.058823529411764705, 0.0804953560371517, 0.10835913312693499, 0.16718266253869968, 0.06191950464396285, 0.02786377708978328, 0.0030959752321981426, 0.04024767801857585]"
163,2024-05-13,18:00,Frankfurt am Main,764104,[25. 23. 19. 26. 35. 54. 20.  9.  1. 13.  4.  5.  1.],"[0.10638297872340426, 0.09787234042553192, 0.08085106382978724, 0.11063829787234042, 0.14893617021276595, 0.2297872340425532, 0.0851063829787234, 0.03829787234042553, 0.00425531914893617, 0.05531914893617021, 0.01702127659574468, 0.02127659574468085, 0.00425531914893617]"
164,2024-05-13,21:00,Frankfurt am Main,764104,[26. 35. 54. 20.  9.  1. 13.  4.  5.  1.  0.  1.  0.],"[0.15384615384615385, 0.20710059171597633, 0.31952662721893493, 0.11834319526627218, 0.05325443786982249, 0.005917159763313609, 0.07692307692307693, 0.023668639053254437, 0.029585798816568046, 0.005917159763313609, 0.0, 0.005917159763313609, 0.0]"
165,2024-05-14,15:00,Frankfurt am Main,764104,[37. 25. 15. 16. 17. 16. 25. 27. 45. 20. 15.  5.  4.],"[0.13857677902621723, 0.09363295880149813, 0.056179775280898875, 0.0599250936329588, 0.06367041198501873, 0.0599250936329588, 0.09363295880149813, 0.10112359550561797, 0.16853932584269662, 0.0749063670411985, 0.056179775280898875, 0.018726591760299626, 0.0149812734082397]"
166,2024-05-14,18:00,Frankfurt am Main,764104,[16. 17. 16. 25. 27. 45. 20. 15.  5.  4.  5.  1.  1.],"[0.08121827411167512, 0.08629441624365482, 0.08121827411167512, 0.12690355329949238, 0.13705583756345177, 0.22842639593908629, 0.10152284263959391, 0.07614213197969544, 0.025380710659898477, 0.02030456852791878, 0.025380710659898477, 0.005076142131979695, 0.005076142131979695]"
167,2024-05-14,21:00,Frankfurt am Main,764104,[25. 27. 45. 20. 15.  5.  4.  5.  1.  1.  0.  1.  1.],"[0.16666666666666666, 0.18, 0.3, 0.13333333333333333, 0.1, 0.03333333333333333, 0.02666666666666667, 0.03333333333333333, 0.006666666666666667, 0.006666666666666667, 0.0, 0.006666666666666667, 0.006666666666666667]"
168,2024-05-15,15:00,Frankfurt am Main,764104,[31. 14. 14. 17. 18. 23. 16. 36. 28. 43. 13. 14.  8.],"[0.11272727272727273, 0.05090909090909091, 0.05090909090909091, 0.06181818181818182, 0.06545454545454546, 0.08363636363636363, 0.05818181818181818, 0.13090909090909092, 0.10181818181818182, 0.15636363636363637, 0.04727272727272727, 0.05090909090909091, 0.02909090909090909]"
169,2024-05-15,18:00,Frankfurt am Main,764104,[17. 18. 23. 16. 36. 28. 43. 13. 14.  8.  5.  3.  4.],"[0.07456140350877193, 0.07894736842105263, 0.10087719298245613, 0.07017543859649122, 0.15789473684210525, 0.12280701754385964, 0.18859649122807018, 0.05701754385964912, 0.06140350877192982, 0.03508771929824561, 0.021929824561403508, 0.013157894736842105, 0.017543859649122806]"
170,2024-05-15,21:00,Frankfurt am Main,764104,[16. 36. 28. 43. 13. 14.  8.  5.  3.  4.  0.  1.  2.],"[0.09248554913294797, 0.20809248554913296, 0.16184971098265896, 0.24855491329479767, 0.07514450867052024, 0.08092485549132948, 0.046242774566473986, 0.028901734104046242, 0.017341040462427744, 0.023121387283236993, 0.0, 0.005780346820809248, 0.011560693641618497]"
171,2024-05-16,15:00,Frankfurt am Main,764104,[25. 24. 30. 16. 17. 27. 23. 38. 61. 22. 12. 15.  6.],"[0.07911392405063292, 0.0759493670886076, 0.0949367088607595, 0.05063291139240506, 0.05379746835443038, 0.08544303797468354, 0.07278481012658228, 0.12025316455696203, 0.1930379746835443, 0.06962025316455696, 0.0379746835443038, 0.04746835443037975, 0.0189873417721519]"
172,2024-05-16,18:00,Frankfurt am Main,764104,[16. 17. 27. 23. 38. 61. 22. 12. 15.  6.  5.  3.  3.],"[0.06451612903225806, 0.06854838709677419, 0.10887096774193548, 0.09274193548387097, 0.1532258064516129, 0.24596774193548387, 0.08870967741935484, 0.04838709677419355, 0.06048387096774194, 0.024193548387096774, 0.020161290322580645, 0.012096774193548387, 0.012096774193548387]"
173,2024-05-16,21:00,Frankfurt am Main,764104,[23. 38. 61. 22. 12. 15.  6.  5.  3.  3.  0.  1.  0.],"[0.12169312169312169, 0.20105820105820105, 0.32275132275132273, 0.1164021164021164, 0.06349206349206349, 0.07936507936507936, 0.031746031746031744, 0.026455026455026454, 0.015873015873015872, 0.015873015873015872, 0.0, 0.005291005291005291, 0.0]"
174,2024-05-17,15:00,Frankfurt am Main,764104,[23. 27. 38. 49. 62. 51. 43. 42. 42. 31. 18. 10.  7.],"[0.05191873589164785, 0.060948081264108354, 0.08577878103837472, 0.11060948081264109, 0.1399548532731377, 0.11512415349887133, 0.09706546275395034, 0.09480812641083522, 0.09480812641083522, 0.06997742663656885, 0.040632054176072234, 0.022573363431151242, 0.01580135440180587]"
175,2024-05-17,18:00,Frankfurt am Main,764104,[49. 62. 51. 43. 42. 42. 31. 18. 10.  7.  9.  5.  2.],"[0.1320754716981132, 0.16711590296495957, 0.13746630727762804, 0.11590296495956873, 0.11320754716981132, 0.11320754716981132, 0.08355795148247978, 0.04851752021563342, 0.026954177897574125, 0.018867924528301886, 0.02425876010781671, 0.013477088948787063, 0.005390835579514825]"
176,2024-05-17,21:00,Frankfurt am Main,764104,[43. 42. 42. 31. 18. 10.  7.  9.  5.  2.  0.  1.  0.],"[0.20476190476190476, 0.2, 0.2, 0.14761904761904762, 0.08571428571428572, 0.047619047619047616, 0.03333333333333333, 0.04285714285714286, 0.023809523809523808, 0.009523809523809525, 0.0, 0.004761904761904762, 0.0]"
177,2024-05-18,15:00,Frankfurt am Main,764104,[14. 23. 25. 39. 51. 88. 70. 55. 57. 39. 19. 15.  8.],"[0.027833001988071572, 0.04572564612326044, 0.04970178926441352, 0.0775347912524851, 0.10139165009940358, 0.1749502982107356, 0.13916500994035785, 0.10934393638170974, 0.11332007952286283, 0.0775347912524851, 0.03777335984095427, 0.02982107355864811, 0.015904572564612324]"
178,2024-05-18,18:00,Frankfurt am Main,764104,[39. 51. 88. 70. 55. 57. 39. 19. 15.  8.  5.  4.  3.],"[0.08609271523178808, 0.11258278145695365, 0.19426048565121412, 0.1545253863134658, 0.12141280353200883, 0.12582781456953643, 0.08609271523178808, 0.04194260485651214, 0.033112582781456956, 0.017660044150110375, 0.011037527593818985, 0.008830022075055188, 0.006622516556291391]"
179,2024-05-18,21:00,Frankfurt am Main,764104,[70. 55. 57. 39. 19. 15.  8.  5.  4.  3.  3.  1.  2.],"[0.2491103202846975, 0.19572953736654805, 0.20284697508896798, 0.1387900355871886, 0.06761565836298933, 0.05338078291814947, 0.028469750889679714, 0.017793594306049824, 0.014234875444839857, 0.010676156583629894, 0.010676156583629894, 0.0035587188612099642, 0.0071174377224199285]"
180,2024-05-19,15:00,Frankfurt am Main,764104,[10.  7. 10. 16. 23. 12. 15. 10. 14.  7. 16. 11.  8.],"[0.06289308176100629, 0.0440251572327044, 0.06289308176100629, 0.10062893081761007, 0.14465408805031446, 0.07547169811320754, 0.09433962264150944, 0.06289308176100629, 0.0880503144654088, 0.0440251572327044, 0.10062893081761007, 0.06918238993710692, 0.050314465408805034]"
181,2024-05-19,18:00,Frankfurt am Main,764104,[16. 23. 12. 15. 10. 14.  7. 16. 11.  8.  4.  6.  2.],"[0.1111111111111111, 0.1597222222222222, 0.08333333333333333, 0.10416666666666667, 0.06944444444444445, 0.09722222222222222, 0.04861111111111111, 0.1111111111111111, 0.0763888888888889, 0.05555555555555555, 0.027777777777777776, 0.041666666666666664, 0.013888888888888888]"
182,2024-05-19,21:00,Frankfurt am Main,764104,[15. 10. 14.  7. 16. 11.  8.  4.  6.  2.  1.  4.  2.],"[0.15, 0.1, 0.14, 0.07, 0.16, 0.11, 0.08, 0.04, 0.06, 0.02, 0.01, 0.04, 0.02]"
183,2024-05-20,15:00,Frankfurt am Main,764104,[12.  8. 19. 20. 25. 21. 26. 35. 28. 27. 61. 21. 12.],"[0.0380952380952381, 0.025396825396825397, 0.06031746031746032, 0.06349206349206349, 0.07936507936507936, 0.06666666666666667, 0.08253968253968254, 0.1111111111111111, 0.08888888888888889, 0.08571428571428572, 0.19365079365079366, 0.06666666666666667, 0.0380952380952381]"
184,2024-05-20,18:00,Frankfurt am Main,764104,[20. 25. 21. 26. 35. 28. 27. 61. 21. 12. 11.  3.  0.],"[0.06896551724137931, 0.08620689655172414, 0.07241379310344828, 0.0896551724137931, 0.1206896551724138, 0.09655172413793103, 0.09310344827586207, 0.2103448275862069, 0.07241379310344828, 0.041379310344827586, 0.03793103448275862, 0.010344827586206896, 0.0]"
185,2024-05-20,21:00,Frankfurt am Main,764104,[26. 35. 28. 27. 61. 21. 12. 11.  3.  0.  1.  1.  0.],"[0.11504424778761062, 0.15486725663716813, 0.12389380530973451, 0.11946902654867257, 0.26991150442477874, 0.09292035398230089, 0.05309734513274336, 0.048672566371681415, 0.01327433628318584, 0.0, 0.004424778761061947, 0.004424778761061947, 0.0]"
186,2024-05-21,15:00,Frankfurt am Main,764104,[42. 31. 24. 30. 21. 35. 38. 59. 36. 26.  7.  6.  5.],"[0.11666666666666667, 0.08611111111111111, 0.06666666666666667, 0.08333333333333333, 0.058333333333333334, 0.09722222222222222, 0.10555555555555556, 0.1638888888888889, 0.1, 0.07222222222222222, 0.019444444444444445, 0.016666666666666666, 0.013888888888888888]"
187,2024-05-21,18:00,Frankfurt am Main,764104,[30. 21. 35. 38. 59. 36. 26.  7.  6.  5.  4.  3.  2.],"[0.11029411764705882, 0.07720588235294118, 0.12867647058823528, 0.13970588235294118, 0.21691176470588236, 0.1323529411764706, 0.09558823529411764, 0.025735294117647058, 0.022058823529411766, 0.01838235294117647, 0.014705882352941176, 0.011029411764705883, 0.007352941176470588]"
188,2024-05-21,21:00,Frankfurt am Main,764104,[38. 59. 36. 26.  7.  6.  5.  4.  3.  2.  1.  0.  0.],"[0.20320855614973263, 0.3155080213903743, 0.1925133689839572, 0.13903743315508021, 0.0374331550802139, 0.03208556149732621, 0.026737967914438502, 0.0213903743315508, 0.016042780748663103, 0.0106951871657754, 0.0053475935828877, 0.0, 0.0]"
189,2024-05-22,15:00,Frankfurt am Main,764104,[28. 18. 31. 11. 18. 14. 24. 79. 45. 33. 12. 15.  7.],"[0.08358208955223881, 0.05373134328358209, 0.09253731343283582, 0.03283582089552239, 0.05373134328358209, 0.041791044776119404, 0.07164179104477612, 0.23582089552238805, 0.13432835820895522, 0.09850746268656717, 0.03582089552238806, 0.04477611940298507, 0.020895522388059702]"
190,2024-05-22,18:00,Frankfurt am Main,764104,[11. 18. 14. 24. 79. 45. 33. 12. 15.  7.  6.  5.  2.],"[0.04059040590405904, 0.06642066420664207, 0.05166051660516605, 0.08856088560885608, 0.2915129151291513, 0.16605166051660517, 0.12177121771217712, 0.04428044280442804, 0.055350553505535055, 0.025830258302583026, 0.02214022140221402, 0.01845018450184502, 0.007380073800738007]"
