day,city,contacts_city,contacts_stad,contact_to_baseline_city,contact_to_baseline_all
2024-05-24,Düsseldorf,234,0,0.9084858569051582,0.9084858569051582
2024-05-24,Frankfurt am Main,180,0,0.8456375838926175,0.8456375838926175
2024-05-24,Gelsenkirchen,252,0,0.8904593639575972,0.8904593639575972
2024-05-24,Hamburg,688,0,0.8613843677338581,0.8613843677338581
2024-05-24,Köln,698,0,1.7760814249363868,1.7760814249363868
2024-05-24,Leipzig,574,0,0.9200824364552324,0.9200824364552324
2024-05-24,München,240,20,1.6683217477656405,1.8073485600794439
2024-05-24,Stuttgart,106,0,0.53,0.53
2024-05-25,Berlin,1010,20,0.9155659155659156,0.9336959336959337
2024-05-25,Dortmund,300,0,0.9012875536480688,0.9012875536480688
2024-05-25,Düsseldorf,240,0,0.7011686143572621,0.7011686143572621
2024-05-25,Frankfurt am Main,192,0,1.052466718872357,1.052466718872357
2024-05-25,Gelsenkirchen,222,0,0.9322135572885423,0.9322135572885423
2024-05-25,Hamburg,1024,0,1.3658536585365855,1.3658536585365855
2024-05-25,Köln,572,4,1.454941860465116,1.4651162790697674
2024-05-25,Leipzig,458,0,0.9220592464768479,0.9220592464768479
2024-05-25,München,192,0,1.2885906040268456,1.2885906040268456
2024-05-25,Stuttgart,136,0,0.5704014379868185,0.5704014379868185
2024-05-26,Berlin,636,0,0.9192649184389841,0.9192649184389841
2024-05-26,Dortmund,182,0,0.8865692414752958,0.8865692414752958
2024-05-26,Düsseldorf,120,0,0.6149341142020498,0.6149341142020498
2024-05-26,Frankfurt am Main,150,0,1.1146496815286624,1.1146496815286624
2024-05-26,Gelsenkirchen,122,0,0.7413194444444444,0.7413194444444444
2024-05-26,Hamburg,378,0,0.7009271523178807,0.7009271523178807
2024-05-26,Köln,252,0,0.8538238141335914,0.8538238141335914
2024-05-26,Leipzig,300,0,0.9362460989745875,0.9362460989745875
2024-05-26,München,220,16,2.08955223880597,2.2415196743554953
2024-05-26,Stuttgart,116,0,0.9842424242424243,0.9842424242424243
2024-05-27,Berlin,1264,0,1.1033794737498441,1.1033794737498441
2024-05-27,Dortmund,256,0,1.0834340991535671,1.0834340991535671
2024-05-27,Düsseldorf,254,28,1.1981132075471699,1.330188679245283
2024-05-27,Frankfurt am Main,314,0,1.6765827612509536,1.6765827612509536
2024-05-27,Gelsenkirchen,248,0,0.938885884261763,0.938885884261763
2024-05-27,Hamburg,610,0,0.9751084722539393,0.9751084722539393
2024-05-27,Köln,262,0,0.9622245540398741,0.9622245540398741
2024-05-27,Leipzig,474,0,1.036875,1.036875
2024-05-27,München,108,0,0.8925619834710744,0.8925619834710744
2024-05-27,Stuttgart,130,0,0.7718405428329093,0.7718405428329093
2024-05-28,Berlin,1248,0,1.0124000463553133,1.0124000463553133
2024-05-28,Dortmund,250,0,0.9500542888165037,0.9500542888165037
2024-05-28,Düsseldorf,272,0,1.2252252252252251,1.2252252252252251
2024-05-28,Frankfurt am Main,222,0,1.0905263157894736,1.0905263157894736
2024-05-28,Gelsenkirchen,316,0,1.189247311827957,1.189247311827957
2024-05-28,Hamburg,644,0,0.9565032887757267,0.9565032887757267
2024-05-28,Köln,318,0,1.0397010742643624,1.0397010742643624
2024-05-28,Leipzig,534,0,1.0698340011448197,1.0698340011448197
2024-05-28,München,94,0,0.7128927410617552,0.7128927410617552
2024-05-28,Stuttgart,156,0,0.7520661157024794,0.7520661157024794
2024-05-29,Berlin,1256,0,1.0492898913951545,1.0492898913951545
2024-05-29,Dortmund,326,0,1.2856338028169014,1.2856338028169014
2024-05-29,Düsseldorf,290,0,1.3443708609271523,1.3443708609271523
2024-05-29,Frankfurt am Main,214,0,1.2003205128205128,1.2003205128205128
2024-05-29,Gelsenkirchen,320,0,1.1940298507462686,1.1940298507462686
2024-05-29,Hamburg,844,0,1.2081799591002045,1.2081799591002045
2024-05-29,Köln,540,0,1.7315620705451216,1.7315620705451216
2024-05-29,Leipzig,380,0,0.7313720098982678,0.7313720098982678
2024-05-29,München,112,0,0.8305084745762712,0.8305084745762712
2024-05-29,Stuttgart,170,0,0.687066974595843,0.687066974595843
2024-05-30,Berlin,1504,0,1.1839856050382367,1.1839856050382367
2024-05-30,Dortmund,152,0,0.6150289017341041,0.6150289017341041
2024-05-30,Düsseldorf,126,0,0.586046511627907,0.586046511627907
2024-05-30,Frankfurt am Main,114,0,0.5753424657534246,0.5753424657534246
2024-05-30,Gelsenkirchen,176,0,0.6403326403326404,0.6403326403326404
2024-05-30,Hamburg,836,0,1.17439293598234,1.17439293598234
2024-05-30,Köln,358,0,1.1553711387736285,1.1553711387736285
2024-05-30,Leipzig,592,0,1.1683112489427685,1.1683112489427685
2024-05-30,München,104,0,0.7769477054429028,0.7769477054429028
2024-05-30,Stuttgart,72,0,0.39252336448598135,0.39252336448598135
2024-05-31,Berlin,1464,0,1.1102925243770314,1.1102925243770314
2024-05-31,Dortmund,264,0,0.8884615384615384,0.8884615384615384
2024-05-31,Düsseldorf,268,0,1.0404880754298391,1.0404880754298391
2024-05-31,Frankfurt am Main,224,0,1.0523489932885906,1.0523489932885906
2024-05-31,Gelsenkirchen,376,0,1.3286219081272084,1.3286219081272084
2024-05-31,Hamburg,854,0,1.0692183866928993,1.0692183866928993
2024-05-31,Köln,338,0,0.8600508905852418,0.8600508905852418
2024-05-31,Leipzig,766,0,1.2278452026562856,1.2278452026562856
2024-05-31,München,130,0,0.9036742800397219,0.9036742800397219
2024-05-31,Stuttgart,274,0,1.37,1.37
2024-06-01,Berlin,1570,0,1.4232064232064232,1.4232064232064232
2024-06-01,Dortmund,456,0,1.3699570815450646,1.3699570815450646
2024-06-01,Düsseldorf,1040,0,3.0383973288814694,3.0383973288814694
2024-06-01,Frankfurt am Main,182,6,0.9976507439310885,1.0305403288958497
2024-06-01,Gelsenkirchen,210,0,0.8818236352729454,0.8818236352729454
2024-06-01,Hamburg,658,0,0.8776676829268293,0.8776676829268293
2024-06-01,Köln,310,0,0.788517441860465,0.788517441860465
2024-06-01,Leipzig,606,0,1.2200172562553926,1.2200172562553926
2024-06-01,München,94,0,0.6308724832214765,0.6308724832214765
2024-06-01,Stuttgart,180,0,0.7549430796884362,0.7549430796884362
2024-06-02,Berlin,704,0,1.0175511046871772,1.0175511046871772
2024-06-02,Dortmund,128,0,0.6235212247738344,0.6235212247738344
2024-06-02,Düsseldorf,190,0,0.9736456808199122,0.9736456808199122
2024-06-02,Frankfurt am Main,156,0,1.1592356687898089,1.1592356687898089
2024-06-02,Gelsenkirchen,186,0,1.1302083333333333,1.1302083333333333
2024-06-02,Hamburg,714,0,1.3239735099337746,1.3239735099337746
2024-06-02,Köln,256,0,0.8673765730880929,0.8673765730880929
2024-06-02,Leipzig,466,0,1.454302273740526,1.454302273740526
2024-06-02,München,86,0,0.8168249660786974,0.8168249660786974
2024-06-02,Stuttgart,144,0,1.2218181818181817,1.2218181818181817
2024-06-03,Berlin,1228,0,1.071954108991146,1.071954108991146
2024-06-03,Dortmund,230,0,0.973397823458283,0.973397823458283
2024-06-03,Düsseldorf,222,0,1.0471698113207548,1.0471698113207548
2024-06-03,Frankfurt am Main,188,0,1.003813882532418,1.003813882532418
2024-06-03,Gelsenkirchen,370,0,1.4007571660356948,1.4007571660356948
2024-06-03,Hamburg,664,0,1.0614295501255995,1.0614295501255995
2024-06-03,Köln,240,0,0.8814270724029382,0.8814270724029382
2024-06-03,Leipzig,508,0,1.1112499999999998,1.1112499999999998
2024-06-03,München,116,0,0.9586776859504132,0.9586776859504132
2024-06-03,Stuttgart,128,0,0.7599660729431722,0.7599660729431722
2024-06-04,Berlin,1190,0,0.9653494031753389,0.9653494031753389
2024-06-04,Dortmund,224,0,0.8512486427795873,0.8512486427795873
