day,contacts_germ,contacts_stad,contact_to_baseline_germ,contact_to_baseline_all
2024-07-20,106052,404,0.9915558725553837,0.9953331570244401
2024-07-21,80804,140,0.9782109794250354,0.979905815536113
2024-07-22,96294,2,0.9786472889882616,0.9786676152243509
2024-07-23,90072,56,0.8974021759551828,0.8979601131815516
2024-07-24,91914,52,0.8966519686268389,0.8971592461076209
2024-07-25,99744,14,0.9400259035966148,0.9401578449930932
2024-07-26,111986,412,0.9103960718002081,0.9137454474505723
2024-07-27,104960,560,0.9813459848320926,0.9865818246901905
2024-07-28,81256,36,0.9836828788693713,0.9841186938693627
2024-07-29,90614,442,0.9209207784948422,0.9254128766705625
2024-07-30,87144,318,0.8682300295479,0.8713983159404942
2024-07-31,97018,576,0.9464432044328247,0.9520622780661021
2024-08-01,101974,0,0.961042283178549,0.961042283178549
2024-08-02,118466,68,0.9630755723204995,0.9636283818938606
2024-08-03,110210,410,1.0304319835017617,1.034265366255012
2024-08-04,87278,50,1.0565850435901472,1.0571903422012463
